year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2024,11,30,A&M-Corpus Christi,Prairie View,H,109,74,2.4,32.6
2025,3,3,A&M-Corpus Christi,New Orleans,H,95,62,2.4,30.6
2024,11,23,A&M-Corpus Christi,Le Moyne,H,82,61,2.4,18.6
2024,11,21,A&M-Corpus Christi,UT Martin,H,81,77,2.4,1.6
2025,1,11,A&M-Corpus Christi,UTRGV,H,79,74,2.4,2.6
2025,1,13,A&M-Corpus Christi,Northwestern St.,H,73,64,2.4,6.6
2025,1,27,A&M-Corpus Christi,McNeese,H,73,74,2.4,-3.4
2025,2,15,A&M-Corpus Christi,UIW,H,69,55,2.4,11.6
2025,2,17,A&M-Corpus Christi,Houston Christian,H,68,62,2.4,3.6
2025,3,1,A&M-Corpus Christi,SE Louisiana,H,68,54,2.4,11.6
2024,12,7,A&M-Corpus Christi,SFA,H,67,48,2.4,16.6
2024,12,5,A&M-Corpus Christi,Lamar University,H,61,65,2.4,-6.4
2025,1,25,A&M-Corpus Christi,Nicholls,H,61,57,2.4,1.6
2025,3,8,Abilene Christian,Grand Canyon,H,82,81,0.1,0.9
2025,2,22,Abilene Christian,Utah Tech,H,80,72,0.1,7.9
2025,1,25,Abilene Christian,UT Arlington,H,76,79,0.1,-3.1
2025,2,13,Abilene Christian,Seattle U,H,75,59,0.1,15.9
2025,2,20,Abilene Christian,Southern Utah,H,75,59,0.1,15.9
2024,11,16,Abilene Christian,Texas St.,H,72,60,0.1,11.9
2024,12,21,Abilene Christian,Texas Southern,H,69,65,0.1,3.9
2025,1,23,Abilene Christian,Tarleton St.,H,67,56,0.1,10.9
2025,3,6,Abilene Christian,Utah Valley,H,60,73,0.1,-13.1
2024,12,31,Abilene Christian,SFA,H,57,62,0.1,-5.1
2024,11,9,Abilene Christian,Middle Tenn.,H,56,79,0.1,-23.1
2025,1,18,Abilene Christian,California Baptist,H,54,60,0.1,-6.1
2024,11,25,Abilene Christian,Southern Miss.,N,82,74,0.1,8
2024,11,24,Air Force,Mercyhurst,H,82,48,0.2,33.8
2025,1,22,Air Force,San Diego St.,H,76,77,0.2,-1.2
2024,11,7,Air Force,Jacksonville St.,H,73,67,0.2,5.8
2025,2,22,Air Force,Fresno St.,H,72,69,0.2,2.8
2024,11,15,Air Force,Belmont,H,71,79,0.2,-8.2
2025,1,4,Air Force,Wyoming,H,65,70,0.2,-5.2
2025,1,11,Air Force,San Jose St.,H,62,69,0.2,-7.2
2024,11,27,Air Force,Sacramento St.,H,61,63,0.2,-2.2
2025,2,4,Air Force,Nevada,H,60,74,0.2,-14.2
2024,12,31,Air Force,UNLV,H,58,77,0.2,-19.2
2025,1,25,Air Force,Utah St.,H,58,87,0.2,-29.2
2024,11,4,Air Force,North Ala.,H,57,73,0.2,-16.2
2025,3,4,Air Force,Boise St.,H,57,80,0.2,-23.2
2025,2,25,Air Force,Colorado St.,H,55,77,0.2,-22.2
2024,11,11,Air Force,LIU,H,54,63,0.2,-9.2
2025,2,8,Air Force,New Mexico,H,53,88,0.2,-35.2
2024,12,7,Air Force,Stony Brook,N,69,61,0.2,8
2025,2,11,Akron,Western Mich.,H,105,92,-4,17
2025,1,25,Akron,Miami (OH),H,102,75,-4,31
2024,11,24,Akron,Alabama St.,H,97,78,-4,23
2024,11,23,Akron,Omaha,H,92,84,-4,12
2025,1,17,Akron,Ohio,H,92,80,-4,16
2025,3,7,Akron,Buffalo,H,88,70,-4,22
2025,1,7,Akron,Central Mich.,H,87,71,-4,20
2024,12,3,Akron,Northern Ky.,H,86,73,-4,17
2025,1,14,Akron,Toledo,H,85,78,-4,11
2025,2,4,Akron,Ball St.,H,81,73,-4,12
2025,2,8,Akron,South Alabama,H,80,67,-4,17
2024,11,22,Akron,Lamar University,H,79,72,-4,11
2025,2,28,Akron,Kent St.,H,77,72,-4,9
2025,2,18,Akron,NIU,H,73,63,-4,14
2024,12,15,Akron,Milwaukee,N,81,100,-4,-19
2024,12,21,Akron,Jackson St.,N,68,50,-4,18
2024,12,20,Akron,Yale,N,58,74,-4,-16
2025,2,25,Alabama,Mississippi St.,H,111,73,7.4,30.6
2024,11,4,Alabama,UNC Asheville,H,110,54,7.4,48.6
2025,1,4,Alabama,Oklahoma,H,107,79,7.4,20.6
2024,12,29,Alabama,South Dakota St.,H,105,82,7.4,15.6
2025,1,21,Alabama,Vanderbilt,H,103,87,7.4,8.6
2025,2,22,Alabama,Kentucky,H,96,83,7.4,5.6
2025,3,5,Alabama,Florida,H,94,99,7.4,-12.4
2025,2,1,Alabama,Georgia,H,90,69,7.4,13.6
2024,11,8,Alabama,Arkansas St.,H,88,79,7.4,1.6
2025,2,15,Alabama,Auburn,H,85,94,7.4,-16.4
2024,12,14,Alabama,Creighton,H,83,75,7.4,0.6
2024,12,22,Alabama,Kent St.,H,81,54,7.4,19.6
2025,1,25,Alabama,LSU,H,80,73,7.4,-0.4
2024,11,11,Alabama,McNeese,H,72,64,7.4,0.6
2025,1,14,Alabama,Ole Miss,H,64,74,7.4,-17.4
2024,11,20,Alabama,Illinois,N,100,87,7.4,13
2024,11,27,Alabama,Rutgers,N,95,90,7.4,5
2024,11,26,Alabama,Houston,N,85,80,7.4,5
2024,11,30,Alabama,Oregon,N,81,83,7.4,-2
2025,1,27,Alabama A&M,Prairie View,H,98,82,-8.3,24.3
2024,12,21,Alabama A&M,Samford,H,90,97,-8.3,1.3
2025,1,4,Alabama A&M,Ark.-Pine Bluff,H,89,79,-8.3,18.3
2024,11,25,Alabama A&M,IU Indy,H,83,88,-8.3,3.3
2025,1,25,Alabama A&M,Texas Southern,H,78,82,-8.3,4.3
2024,11,23,Alabama A&M,Coastal Carolina,H,77,70,-8.3,15.3
2025,2,24,Alabama A&M,Florida A&M,H,77,66,-8.3,19.3
2024,11,22,Alabama A&M,South Carolina St.,H,70,82,-8.3,-3.7
2025,2,8,Alabama A&M,Southern U.,H,68,81,-8.3,-4.7
2025,1,18,Alabama A&M,Alabama St.,H,65,69,-8.3,4.3
2025,2,22,Alabama A&M,Bethune-Cookman,H,64,68,-8.3,4.3
2025,2,10,Alabama A&M,Grambling,H,61,72,-8.3,-2.7
2024,11,30,Alabama A&M,Lipscomb,H,44,82,-8.3,-29.7
2024,12,11,Alabama St.,UT Martin,H,103,93,-3.9,13.9
2025,3,1,Alabama St.,Alabama A&M,H,94,52,-3.9,45.9
2025,1,6,Alabama St.,Ark.-Pine Bluff,H,93,91,-3.9,5.9
2025,2,10,Alabama St.,Southern U.,H,82,81,-3.9,4.9
2025,1,27,Alabama St.,Texas Southern,H,69,80,-3.9,-7.1
