year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2018,1,24,A&M-Corpus Christi,Abilene Christian,H,80,66,2.4,11.6
2018,1,27,A&M-Corpus Christi,Houston Christian,H,79,69,2.4,7.6
2017,12,30,A&M-Corpus Christi,Lamar University,H,72,77,2.4,-7.4
2018,2,28,A&M-Corpus Christi,McNeese,H,82,70,2.4,9.6
2018,2,10,A&M-Corpus Christi,New Orleans,H,53,62,2.4,-11.4
2018,3,7,A&M-Corpus Christi,New Orleans,N,76,83,2.4,-7
2018,1,3,A&M-Corpus Christi,Northwestern St.,H,67,65,2.4,-0.4
2018,1,10,A&M-Corpus Christi,Sam Houston,H,50,82,2.4,-34.4
2018,2,14,A&M-Corpus Christi,SFA,H,68,87,2.4,-21.4
2018,2,24,A&M-Corpus Christi,UIW,H,62,69,2.4,-9.4
2017,11,15,A&M-Corpus Christi,UTRGV,H,75,82,2.4,-9.4
2018,2,22,Abilene Christian,A&M-Corpus Christi,H,67,76,0.1,-9.1
2017,11,26,Abilene Christian,Bowling Green,N,88,83,0.1,5
2018,2,24,Abilene Christian,Central Ark.,H,72,74,0.1,-2.1
2018,1,31,Abilene Christian,Lamar University,H,74,69,0.1,4.9
2017,11,20,Abilene Christian,Lipscomb,H,67,75,0.1,-8.1
2018,1,3,Abilene Christian,McNeese,H,79,74,0.1,4.9
2018,2,7,Abilene Christian,Nicholls,H,65,69,0.1,-4.1
2017,12,30,Abilene Christian,Sam Houston,H,75,72,0.1,2.9
2018,1,17,Abilene Christian,SFA,H,66,76,0.1,-10.1
2018,1,6,Abilene Christian,SE Louisiana,H,70,72,0.1,-2.1
2017,12,9,Abilene Christian,Texas St.,H,72,68,0.1,3.9
2018,2,10,Abilene Christian,UIW,H,80,69,0.1,10.9
2017,11,25,Abilene Christian,USC Upstate,N,78,88,0.1,-10
2017,12,6,Air Force,Abilene Christian,H,58,62,0.2,-4.2
2017,11,20,Air Force,Ark.-Pine Bluff,H,57,47,0.2,9.8
2017,12,17,Air Force,Army West Point,N,54,79,0.2,-25
2018,1,27,Air Force,Boise St.,H,64,70,0.2,-6.2
2017,11,14,Air Force,Canisius,H,93,79,0.2,13.8
2018,2,6,Air Force,Colorado St.,H,78,73,0.2,4.8
2018,2,26,Air Force,Fresno St.,H,48,54,0.2,-6.2
2018,1,6,Air Force,Nevada,H,75,86,0.2,-11.2
2018,2,10,Air Force,New Mexico,H,100,92,0.2,7.8
2017,11,21,Air Force,Pacific,H,71,83,0.2,-12.2
2018,2,21,Air Force,San Diego St.,H,56,67,0.2,-11.2
2018,3,3,Air Force,San Jose St.,H,83,61,0.2,21.8
2017,11,12,Air Force,Texas St.,H,65,57,0.2,7.8
2018,1,10,Air Force,UNLV,H,76,81,0.2,-5.2
2018,2,24,Air Force,Utah St.,H,75,65,0.2,9.8
2017,12,9,Akron,App State,H,94,89,-4,9
2018,2,13,Akron,Ball St.,H,77,90,-4,-9
2018,1,13,Akron,Bowling Green,H,80,78,-4,6
2018,1,9,Akron,Buffalo,H,65,87,-4,-18
2018,2,10,Akron,Central Mich.,H,69,63,-4,10
2017,11,28,Akron,Chattanooga,H,75,70,-4,9
2017,11,11,Akron,Cleveland St.,H,67,57,-4,14
2017,12,25,Akron,Davidson,N,78,91,-4,-13
2018,3,8,Akron,Eastern Mich.,N,58,67,-4,-9
2018,3,2,Akron,Kent St.,H,67,65,-4,6
2018,2,24,Akron,Miami (OH),H,62,64,-4,2
2018,1,20,Akron,NIU,H,82,67,-4,19
2018,1,23,Akron,Ohio,H,71,68,-4,7
2017,12,23,Akron,Princeton,N,62,64,-4,-2
2017,12,6,Akron,Purdue Fort Wayne,H,83,79,-4,8
2017,12,22,Akron,Southern California,N,53,84,-4,-31
2018,2,3,Akron,Toledo,H,56,77,-4,-17
2017,11,18,Akron,UT Martin,H,76,59,-4,21
2017,11,17,Alabama,Alabama A&M,H,104,67,7.4,29.6
2018,2,24,Alabama,Arkansas,H,73,76,7.4,-10.4
2018,1,17,Alabama,Auburn,H,76,71,7.4,-2.4
2017,11,24,Alabama,BYU,N,71,59,7.4,12
2018,2,27,Alabama,Florida,H,52,73,7.4,-28.4
2017,11,14,Alabama,Lipscomb,H,86,64,7.4,14.6
2017,11,29,Alabama,Louisiana Tech,H,77,74,7.4,-4.4
2018,2,13,Alabama,LSU,H,80,65,7.4,7.6
2017,11,10,Alabama,Memphis,N,82,70,7.4,12
2017,12,19,Alabama,Mercer,N,80,79,7.4,1
2017,11,25,Alabama,Minnesota,N,84,89,7.4,-5
2018,1,20,Alabama,Mississippi St.,H,68,62,7.4,-1.4
2018,1,31,Alabama,Missouri,H,60,69,7.4,-16.4
2018,1,27,Alabama,Oklahoma,H,80,73,7.4,-0.4
2017,12,6,Alabama,Rhode Island,H,68,64,7.4,-3.4
2018,1,9,Alabama,South Carolina,H,76,62,7.4,6.6
2018,2,10,Alabama,Tennessee,H,78,50,7.4,20.6
2017,12,22,Alabama,Texas,H,50,66,7.4,-23.4
2017,12,30,Alabama,Texas A&M,H,79,57,7.4,14.6
2018,3,8,Alabama,Texas A&M,N,71,70,7.4,1
2017,12,3,Alabama,UCF,H,62,65,7.4,-10.4
2017,11,21,Alabama,UT Arlington,H,77,76,7.4,-6.4
2018,2,10,Alabama A&M,Alabama St.,H,50,69,-8.3,-10.7
2018,2,17,Alabama A&M,Alcorn,H,60,80,-8.3,-11.7
2018,1,6,Alabama A&M,Ark.-Pine Bluff,H,62,69,-8.3,1.3
2017,11,29,Alabama A&M,Georgia St.,H,53,63,-8.3,-1.7
2018,3,1,Alabama A&M,Grambling,H,74,84,-8.3,-1.7
2018,3,3,Alabama A&M,Jackson St.,H,66,59,-8.3,15.3
2018,1,29,Alabama A&M,Prairie View,H,67,88,-8.3,-12.7
2017,12,13,Alabama A&M,Southern Miss.,H,54,69,-8.3,-6.7
2018,2,19,Alabama A&M,Southern U.,H,50,60,-8.3,-1.7
2018,1,27,Alabama A&M,Texas Southern,H,56,58,-8.3,6.3
2017,11,25,Alabama A&M,Western Caro.,N,72,82,-8.3,-10
2018,1,13,Alabama St.,Alabama A&M,H,70,67,-3.9,6.9
2018,2,19,Alabama St.,Alcorn,H,82,62,-3.9,23.9
2018,1,8,Alabama St.,Ark.-Pine Bluff,H,68,94,-3.9,-22.1
2018,3,3,Alabama St.,Grambling,H,64,66,-3.9,1.9
2018,3,1,Alabama St.,Jackson St.,H,62,60,-3.9,5.9
2017,12,22,Alabama St.,Liberty,N,70,87,-3.9,-17
2017,12,21,Alabama St.,Louisiana Tech,N,62,74,-3.9,-12
2018,1,27,Alabama St.,Prairie View,H,80,86,-3.9,-2.1
2018,2,17,Alabama St.,Southern U.,H,67,71,-3.9,-0.1
2017,12,12,Alabama St.,Tennessee St.,H,45,64,-3.9,-15.1
2018,1,29,Alabama St.,Texas Southern,H,82,97,-3.9,-11.1
2017,12,16,Alabama St.,Winthrop,H,80,88,-3.9,-4.1
2018,1,20,Alcorn,Alabama A&M,H,68,52,-13.6,29.6
2018,1,22,Alcorn,Alabama St.,H,81,64,-13.6,30.6
2018,2,12,Alcorn,Ark.-Pine Bluff,H,84,52,-13.6,45.6
2018,1,8,Alcorn,Grambling,H,61,72,-13.6,2.6
2018,1,6,Alcorn,Jackson St.,H,55,60,-13.6,8.6
2018,3,1,Alcorn,Prairie View,H,69,79,-13.6,3.6
2018,2,24,Alcorn,Southern U.,H,89,85,-13.6,17.6
2018,3,3,Alcorn,Texas Southern,H,71,78,-13.6,6.6
2017,11,22,Alcorn,Yale,H,73,87,-13.6,-0.4
