year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2017,1,28,A&M-Corpus Christi,Abilene Christian,H,72,60,2.4,9.6
2017,1,14,A&M-Corpus Christi,Central Ark.,H,88,81,2.4,4.6
2017,2,1,A&M-Corpus Christi,Houston Christian,H,90,79,2.4,8.6
2017,2,18,A&M-Corpus Christi,Lamar University,H,70,63,2.4,4.6
2017,2,25,A&M-Corpus Christi,McNeese,H,81,70,2.4,8.6
2017,1,7,A&M-Corpus Christi,Northwestern St.,H,99,82,2.4,14.6
2017,2,8,A&M-Corpus Christi,SE Louisiana,H,80,75,2.4,2.6
2017,1,19,A&M-Corpus Christi,SFA,H,58,61,2.4,-5.4
2017,3,4,A&M-Corpus Christi,UIW,H,81,64,2.4,14.6
2016,11,29,A&M-Corpus Christi,UTRGV,H,84,68,2.4,13.6
2016,12,18,A&M-Corpus Christi,UTSA,H,73,69,2.4,1.6
2017,2,22,Abilene Christian,A&M-Corpus Christi,H,44,56,0.1,-12.1
2017,1,5,Abilene Christian,Central Ark.,H,76,81,0.1,-5.1
2016,11,22,Abilene Christian,Charleston So.,H,65,66,0.1,-1.1
2017,1,14,Abilene Christian,Lamar University,H,67,64,0.1,2.9
2017,2,1,Abilene Christian,New Orleans,H,70,69,0.1,0.9
2017,2,11,Abilene Christian,Northwestern St.,H,76,72,0.1,3.9
2017,2,4,Abilene Christian,Sam Houston,H,71,64,0.1,6.9
2017,1,12,Abilene Christian,SE Louisiana,H,50,56,0.1,-6.1
2017,1,7,Abilene Christian,SFA,H,69,60,0.1,8.9
2017,3,1,Abilene Christian,UIW,H,75,89,0.1,-14.1
2016,11,25,Air Force,Akron,N,75,84,0.2,-9
2017,3,4,Air Force,Boise St.,H,70,98,0.2,-28.2
2016,12,19,Air Force,Colorado,H,68,75,0.2,-7.2
2016,12,10,Air Force,Denver,H,65,77,0.2,-12.2
2016,11,26,Air Force,East Carolina,N,63,70,0.2,-7
2016,11,20,Air Force,Florida A&M,H,87,62,0.2,24.8
2017,1,11,Air Force,Fresno St.,H,81,72,0.2,8.8
2016,11,14,Air Force,Jacksonville,H,86,68,0.2,17.8
2016,12,3,Air Force,Missouri St.,H,83,70,0.2,12.8
2017,2,15,Air Force,Nevada,H,59,78,0.2,-19.2
2017,2,8,Air Force,New Mexico,H,67,74,0.2,-7.2
2017,1,24,Air Force,San Diego St.,H,60,57,0.2,2.8
2017,1,14,Air Force,San Jose St.,H,85,89,0.2,-4.2
2016,11,22,Air Force,Stetson,H,85,72,0.2,12.8
2016,12,22,Air Force,UC Davis,H,77,67,0.2,9.8
2017,2,22,Air Force,UNLV,H,81,58,0.2,22.8
2016,12,31,Air Force,Utah St.,H,78,73,0.2,4.8
2017,2,4,Air Force,Wyoming,H,74,83,0.2,-9.2
