year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2021,2,20,A&M-Corpus Christi,Lamar University,H,77,68,2.4,6.6
2021,2,3,A&M-Corpus Christi,SFA,H,75,84,2.4,-11.4
2021,2,22,A&M-Corpus Christi,SE Louisiana,H,75,78,2.4,-5.4
2021,2,8,A&M-Corpus Christi,Abilene Christian,H,69,82,2.4,-15.4
2020,12,10,A&M-Corpus Christi,UTRGV,H,64,68,2.4,-6.4
2020,11,28,A&M-Corpus Christi,Texas St.,H,63,75,2.4,-14.4
2021,2,24,A&M-Corpus Christi,New Orleans,H,61,69,2.4,-10.4
2021,2,6,A&M-Corpus Christi,UIW,H,53,58,2.4,-7.4
2020,12,12,A&M-Corpus Christi,Texas Tech,N,57,77,2.4,-20
2021,1,23,Abilene Christian,Central Ark.,H,93,58,0.1,34.9
2021,2,10,Abilene Christian,Houston Christian,H,88,59,0.1,28.9
2021,3,6,Abilene Christian,UIW,H,85,60,0.1,24.9
2021,1,2,Abilene Christian,Lamar University,H,83,65,0.1,17.9
2021,2,13,Abilene Christian,A&M-Corpus Christi,H,83,55,0.1,27.9
2021,1,27,Abilene Christian,SFA,H,82,62,0.1,19.9
2021,1,16,Abilene Christian,SE Louisiana,H,76,42,0.1,33.9
2020,12,5,Abilene Christian,Tarleton St.,H,69,48,0.1,20.9
2021,3,12,Abilene Christian,Lamar University,N,93,71,0.1,22
2020,11,27,Abilene Christian,Austin Peay,N,80,72,0.1,8
2020,11,25,Abilene Christian,ETSU,N,70,47,0.1,23
2020,11,28,Abilene Christian,Omaha,N,70,58,0.1,12
2021,3,20,Abilene Christian,Texas,N,53,52,0.1,1
2021,3,22,Abilene Christian,UCLA,N,47,67,0.1,-20
2021,1,16,Air Force,Wyoming,H,72,69,0.2,2.8
2021,2,22,Air Force,New Mexico,H,65,73,0.2,-8.2
2021,2,13,Air Force,Fresno St.,H,64,67,0.2,-3.2
2021,2,11,Air Force,Fresno St.,H,63,69,0.2,-6.2
2021,2,24,Air Force,New Mexico,H,62,55,0.2,6.8
2021,1,22,Air Force,San Diego St.,H,61,98,0.2,-37.2
2020,12,5,Air Force,Lamar University,H,59,44,0.2,14.8
2021,1,24,Air Force,San Diego St.,H,59,91,0.2,-32.2
2021,1,18,Air Force,Wyoming,H,58,77,0.2,-19.2
2021,1,2,Air Force,Utah St.,H,53,72,0.2,-19.2
2020,12,31,Air Force,Utah St.,H,48,83,0.2,-35.2
2020,11,28,Air Force,CSUN,N,66,61,0.2,5
2021,1,30,Air Force,San Jose St.,N,62,75,0.2,-13
2021,1,28,Air Force,San Jose St.,N,58,59,0.2,-1
2020,11,29,Air Force,Seattle U,N,45,63,0.2,-18
2021,1,16,Akron,Toledo,H,95,94,-4,5
2020,12,22,Akron,Ohio,H,90,70,-4,24
2021,1,26,Akron,Eastern Mich.,H,86,65,-4,25
2021,1,21,Akron,Central Mich.,H,81,67,-4,18
2021,2,16,Akron,NIU,H,81,76,-4,9
2021,1,30,Akron,Ball St.,H,74,42,-4,36
2021,2,26,Akron,Bowling Green,H,71,83,-4,-8
2021,1,1,Akron,Kent St.,H,66,62,-4,8
2020,12,15,Akron,St. Bonaventure,N,74,81,-4,-7
2021,3,11,Akron,Bowling Green,N,74,67,-4,7
2021,3,12,Akron,Buffalo,N,74,81,-4,-7
