year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2020,3,7,A&M-Corpus Christi,Houston Christian,H,84,78,2.4,3.6
2020,1,4,A&M-Corpus Christi,SE Louisiana,H,80,84,2.4,-6.4
2020,2,29,A&M-Corpus Christi,UIW,H,78,70,2.4,5.6
2020,1,22,A&M-Corpus Christi,New Orleans,H,74,71,2.4,0.6
2020,3,4,A&M-Corpus Christi,Sam Houston,H,74,60,2.4,11.6
2020,2,5,A&M-Corpus Christi,McNeese,H,69,62,2.4,4.6
2020,1,2,A&M-Corpus Christi,Northwestern St.,H,67,62,2.4,2.6
2020,2,12,A&M-Corpus Christi,SFA,H,67,75,2.4,-10.4
2020,1,18,A&M-Corpus Christi,Lamar University,H,64,58,2.4,3.6
2020,2,15,A&M-Corpus Christi,Abilene Christian,H,64,78,2.4,-16.4
2019,11,15,A&M-Corpus Christi,Stony Brook,H,63,68,2.4,-7.4
2019,11,17,A&M-Corpus Christi,UTRGV,H,63,55,2.4,5.6
2019,11,6,A&M-Corpus Christi,Louisiana Tech,H,49,82,2.4,-35.4
2019,11,16,A&M-Corpus Christi,North Dakota St.,H,45,57,2.4,-14.4
2020,2,26,Abilene Christian,Sam Houston,H,85,69,0.1,15.9
2020,1,8,Abilene Christian,McNeese,H,84,88,0.1,-4.1
2020,2,8,Abilene Christian,Lamar University,H,84,49,0.1,34.9
2020,2,12,Abilene Christian,Houston Christian,H,81,67,0.1,13.9
2019,12,21,Abilene Christian,Nicholls,H,79,61,0.1,17.9
2020,1,18,Abilene Christian,SE Louisiana,H,76,55,0.1,20.9
2020,2,29,Abilene Christian,Central Ark.,H,75,70,0.1,4.9
2019,12,5,Abilene Christian,Southeast Mo. St.,H,73,64,0.1,8.9
2020,2,1,Abilene Christian,UIW,H,72,58,0.1,13.9
2020,3,3,Abilene Christian,SFA,H,72,77,0.1,-5.1
2019,11,16,Abilene Christian,Pepperdine,H,69,73,0.1,-4.1
2020,1,11,Abilene Christian,A&M-Corpus Christi,H,68,56,0.1,11.9
