year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2025,12,29,A&M-Corpus Christi,Nicholls,H,71,76,2.4,-7.4
2025,12,31,A&M-Corpus Christi,New Orleans,H,83,69,2.4,11.6
2026,1,17,A&M-Corpus Christi,SE Louisiana,H,68,56,2.4,9.6
2026,1,19,A&M-Corpus Christi,McNeese,H,53,69,2.4,-18.4
2026,1,26,A&M-Corpus Christi,UTRGV,H,55,64,2.4,-11.4
2026,1,31,A&M-Corpus Christi,Houston Christian,H,73,71,2.4,-0.4
2026,2,14,A&M-Corpus Christi,Lamar University,H,76,63,2.4,10.6
2026,2,28,A&M-Corpus Christi,Northwestern St.,H,71,59,2.4,9.6
2026,2,16,A&M-Corpus Christi,SFA,H,68,78,2.4,-12.4
2026,2,2,A&M-Corpus Christi,UIW,H,69,71,2.4,-4.4
2026,3,2,A&M-Corpus Christi,East Texas A&M,H,84,71,2.4,10.6
2026,3,9,A&M-Corpus Christi,New Orleans,N,74,61,2.4,13
2026,3,10,A&M-Corpus Christi,SFA,N,58,60,2.4,-2
2025,11,6,Abilene Christian,Omaha,H,73,71,0.1,1.9
2025,11,24,Abilene Christian,UTSA,N,61,50,0.1,11
2025,11,25,Abilene Christian,William & Mary,N,58,92,0.1,-34
2025,12,6,Abilene Christian,New Mexico St.,H,77,69,0.1,7.9
2026,1,1,Abilene Christian,Utah Tech,H,64,79,0.1,-15.1
2026,1,3,Abilene Christian,Utah Valley,H,85,68,0.1,16.9
2026,1,15,Abilene Christian,California Baptist,H,58,74,0.1,-16.1
2026,1,29,Abilene Christian,Utah Tech,H,70,76,0.1,-6.1
2026,1,31,Abilene Christian,Southern Utah,H,76,79,0.1,-3.1
2026,2,21,Abilene Christian,Southern Utah,H,87,83,0.1,3.9
2026,2,14,Abilene Christian,Tarleton St.,H,73,59,0.1,13.9
2026,2,12,Abilene Christian,UT Arlington,H,67,63,0.1,3.9
2026,3,11,Abilene Christian,Tarleton St.,N,84,78,0.1,6
2026,3,7,Abilene Christian,UT Arlington,H,57,64,0.1,-7.1
2026,3,12,Abilene Christian,Utah Tech,N,74,80,0.1,-6
2025,11,8,Air Force,Austin Peay,H,54,74,0.2,-20.2
2025,11,11,Air Force,LIU,H,72,76,0.2,-4.2
2025,11,15,Air Force,Miami (OH),H,61,76,0.2,-15.2
2025,11,19,Air Force,Alabama St.,H,66,64,0.2,1.8
2025,11,21,Air Force,SIUE,H,77,63,0.2,13.8
2025,11,23,Air Force,IU Indy,H,98,85,0.2,12.8
2025,11,26,Air Force,Northern Colo.,H,53,71,0.2,-18.2
2025,11,29,Air Force,South Dakota,N,63,80,0.2,-17
2025,12,3,Air Force,Pacific,H,65,80,0.2,-15.2
2025,12,30,Air Force,Wyoming,H,56,68,0.2,-12.2
2026,1,6,Air Force,Utah St.,H,62,99,0.2,-37.2
2026,1,10,Air Force,New Mexico,H,49,91,0.2,-42.2
2026,1,31,Air Force,Fresno St.,H,62,79,0.2,-17.2
2026,2,10,Air Force,Colorado St.,H,74,91,0.2,-17.2
2026,2,7,Air Force,San Diego St.,H,54,88,0.2,-34.2
2026,2,24,Air Force,San Jose St.,H,80,86,0.2,-6.2
2026,2,21,Air Force,UNLV,H,66,91,0.2,-25.2
2026,3,3,Air Force,Grand Canyon,H,60,86,0.2,-26.2
2026,3,11,Air Force,Nevada,N,45,80,0.2,-35
2025,11,3,Akron,James Madison,H,85,71,-4,18
2025,11,8,Akron,Princeton,H,104,69,-4,39
2025,11,21,Akron,Iona,N,96,75,-4,21
2025,11,23,Akron,Evansville,N,97,59,-4,38
2025,11,24,Akron,Yale,N,94,97,-4,-3
2025,11,29,Akron,Milwaukee,H,105,81,-4,28
2025,12,3,Akron,Bucknell,H,97,77,-4,24
2025,12,13,Akron,Murray St.,N,100,115,-4,-15
2025,12,19,Akron,Eastern Mich.,H,93,72,-4,25
2026,1,6,Akron,Central Mich.,H,82,69,-4,17
2026,1,13,Akron,Ball St.,H,87,77,-4,14
2026,1,17,Akron,Western Mich.,H,104,89,-4,19
2026,1,27,Akron,Toledo,H,91,81,-4,14
2026,1,30,Akron,Kent St.,H,69,52,-4,21
2026,2,24,Akron,Buffalo,H,99,85,-4,18
2026,2,13,Akron,Massachusetts,H,99,92,-4,11
2026,3,12,Akron,Buffalo,N,73,70,-4,3
2026,3,13,Akron,Kent St.,N,75,68,-4,7
2026,3,6,Akron,NIU,H,94,55,-4,43
2026,3,14,Akron,Toledo,N,79,76,-4,3
2025,11,3,Alabama,North Dakota,H,91,62,7.4,21.6
2025,11,13,Alabama,Purdue,H,80,87,7.4,-14.4
2025,11,19,Alabama,Illinois,N,90,86,7.4,4
2025,11,24,Alabama,Gonzaga,N,85,95,7.4,-10
2025,11,25,Alabama,UNLV,N,115,76,7.4,39
2025,11,26,Alabama,Maryland,N,105,72,7.4,33
2025,12,3,Alabama,Clemson,H,90,84,7.4,-1.4
2025,12,7,Alabama,UTSA,H,97,55,7.4,34.6
2025,12,13,Alabama,Arizona,N,75,96,7.4,-21
2025,12,17,Alabama,South Fla.,H,104,93,7.4,3.6
2025,12,21,Alabama,Kennesaw St.,N,92,81,7.4,11
2025,12,29,Alabama,Yale,H,102,78,7.4,16.6
2026,1,3,Alabama,Kentucky,H,89,74,7.4,7.6
2026,1,10,Alabama,Texas,H,88,92,7.4,-11.4
2026,1,24,Alabama,Tennessee,H,73,79,7.4,-13.4
2026,1,27,Alabama,Missouri,H,90,64,7.4,18.6
2026,2,18,Alabama,Arkansas,H,117,115,7.4,-5.4
2026,2,25,Alabama,Mississippi St.,H,100,75,7.4,17.6
2026,2,14,Alabama,South Carolina,H,89,75,7.4,6.6
2026,2,4,Alabama,Texas A&M,H,100,97,7.4,-4.4
2026,3,7,Alabama,Auburn,H,96,84,7.4,4.6
2026,3,13,Alabama,Ole Miss,N,79,80,7.4,-1
2025,11,13,Alabama A&M,Charleston So.,H,68,64,-8.3,12.3
2025,11,16,Alabama A&M,Lindenwood,H,74,65,-8.3,17.3
2025,12,3,Alabama A&M,Tennessee St.,H,80,53,-8.3,35.3
2025,12,15,Alabama A&M,North Ala.,H,68,60,-8.3,16.3
2025,12,17,Alabama A&M,Ole Miss,N,66,80,-8.3,-14
2025,12,21,Alabama A&M,Chattanooga,H,66,73,-8.3,1.3
2026,1,10,Alabama A&M,Alcorn,H,62,64,-8.3,6.3
2026,1,12,Alabama A&M,Jackson St.,H,100,91,-8.3,17.3
2026,1,19,Alabama A&M,Alabama St.,N,73,69,-8.3,4
2026,1,31,Alabama A&M,Florida A&M,H,72,65,-8.3,15.3
2026,2,28,Alabama A&M,Alabama St.,H,88,89,-8.3,7.3
2026,2,16,Alabama A&M,Ark.-Pine Bluff,H,82,70,-8.3,20.3
2026,2,2,Alabama A&M,Bethune-Cookman,H,62,80,-8.3,-9.7
2026,3,3,Alabama A&M,Grambling,H,77,63,-8.3,22.3
2026,3,13,Alabama A&M,Prairie View,N,55,74,-8.3,-19
2026,3,5,Alabama A&M,Southern U.,H,85,88,-8.3,5.3
2026,3,12,Alabama A&M,Texas Southern,N,85,74,-8.3,11
2025,11,21,Alabama St.,IU Indy,N,101,80,-3.9,21
2025,11,23,Alabama St.,SIUE,N,68,83,-3.9,-15
2026,1,10,Alabama St.,Jackson St.,H,64,75,-3.9,-7.1
2026,1,12,Alabama St.,Alcorn,H,81,66,-3.9,18.9
2026,1,19,Alabama St.,Alabama A&M,N,69,73,-3.9,-4
2026,1,31,Alabama St.,Bethune-Cookman,H,54,69,-3.9,-11.1
2026,2,14,Alabama St.,Ark.-Pine Bluff,H,79,61,-3.9,21.9
2026,2,2,Alabama St.,Florida A&M,H,79,66,-3.9,16.9
2026,3,9,Alabama St.,Alcorn,N,65,77,-3.9,-12
2026,3,5,Alabama St.,Grambling,H,63,65,-3.9,1.9
2026,3,3,Alabama St.,Southern U.,H,64,71,-3.9,-3.1
2025,11,28,Alcorn,Indiana St.,N,81,74,-13.6,7
2026,1,17,Alcorn,Texas Southern,H,71,72,-13.6,12.6
2026,1,19,Alcorn,Prairie View,H,76,75,-13.6,14.6
2026,1,31,Alcorn,Southern U.,H,78,73,-13.6,18.6
2026,2,14,Alcorn,Bethune-Cookman,H,57,55,-13.6,15.6
2026,2,16,Alcorn,Florida A&M,H,78,86,-13.6,5.6
2026,2,2,Alcorn,Grambling,H,50,74,-13.6,-10.4
2026,2,21,Alcorn,Jackson St.,H,83,65,-13.6,31.6
2026,3,9,Alcorn,Alabama St.,N,77,65,-13.6,12
2026,3,5,Alcorn,Ark.-Pine Bluff,H,48,83,-13.6,-21.4
2026,3,10,Alcorn,Prairie View,N,56,65,-13.6,-9
2025,11,9,American,Pennsylvania,H,84,78,-5.93,11.93
2025,11,28,American,Maine,H,74,61,-5.93,18.93
2025,11,29,American,Siena,H,55,59,-5.93,1.93
2025,11,30,American,Longwood,H,92,66,-5.93,31.93
2025,12,3,American,Drexel,H,75,73,-5.93,7.93
2025,12,6,American,UMES,H,78,60,-5.93,23.93
2025,12,31,American,Loyola Maryland,H,84,69,-5.93,20.93
2026,1,10,American,Holy Cross,H,73,84,-5.93,-5.07
2026,1,12,American,Navy,H,65,51,-5.93,19.93
2026,1,21,American,Colgate,H,70,66,-5.93,9.93
2026,1,31,American,Lafayette,H,65,67,-5.93,3.93
2026,2,14,American,Army West Point,H,75,63,-5.93,17.93
2026,2,28,American,Boston U.,H,65,68,-5.93,2.93
2026,2,4,American,Bucknell,H,59,60,-5.93,4.93
2026,2,25,American,Lehigh,H,73,78,-5.93,0.93
2025,11,9,App State,N.C. Central,H,76,54,2.2,19.8
2025,11,21,App State,Charlotte,H,65,63,2.2,-0.2
2025,11,24,App State,Elon,H,53,88,2.2,-37.2
2025,12,14,App State,High Point,N,86,78,2.2,8
2025,12,18,App State,Coastal Carolina,H,67,49,2.2,15.8
2025,12,20,App State,Georgia St.,H,63,70,2.2,-9.2
2026,1,15,App State,James Madison,H,80,65,2.2,12.8
2026,1,17,App State,Old Dominion,H,73,75,2.2,-4.2
2026,1,22,App State,Louisiana,H,72,58,2.2,11.8
2026,1,23,App State,ULM,H,59,43,2.2,13.8
2026,2,7,App State,Eastern Mich.,H,65,60,2.2,2.8
2026,2,21,App State,Ga. Southern,H,89,74,2.2,12.8
2026,2,19,App State,Marshall,H,93,94,2.2,-3.2
2026,2,4,App State,South Alabama,H,65,57,2.2,5.8
2026,3,7,App State,Southern Miss.,N,73,86,2.2,-13
2025,11,3,Arizona,Florida,N,93,87,7.9,6
2025,11,7,Arizona,Utah Tech,H,93,67,7.9,18.1
2025,11,11,Arizona,Northern Ariz.,H,84,49,7.9,27.1
2025,11,14,Arizona,UCLA,N,69,65,7.9,4
2025,11,24,Arizona,Denver,H,103,73,7.9,22.1
2025,11,29,Arizona,Norfolk St.,H,98,61,7.9,29.1
2025,12,6,Arizona,Auburn,H,97,68,7.9,21.1
2025,12,13,Arizona,Alabama,N,96,75,7.9,21
2025,12,16,Arizona,Abilene Christian,H,96,62,7.9,26.1
2025,12,20,Arizona,San Diego St.,N,68,45,7.9,23
2025,12,22,Arizona,Bethune-Cookman,H,107,71,7.9,28.1
2025,12,29,Arizona,South Dakota St.,H,99,71,7.9,20.1
2026,1,7,Arizona,Kansas St.,H,101,76,7.9,17.1
2026,1,14,Arizona,Arizona St.,H,89,82,7.9,-0.9
2026,1,21,Arizona,Cincinnati,H,77,51,7.9,18.1
2026,1,24,Arizona,West Virginia,H,88,53,7.9,27.1
2026,2,18,Arizona,BYU,H,75,68,7.9,-0.9
2026,2,28,Arizona,Kansas,H,84,61,7.9,15.1
2026,2,7,Arizona,Oklahoma St.,H,84,47,7.9,29.1
2026,2,14,Arizona,Texas Tech,H,75,78,7.9,-10.9
2026,3,14,Arizona,Houston,N,79,74,7.9,5
2026,3,2,Arizona,Iowa St.,H,73,57,7.9,8.1
2026,3,13,Arizona,Iowa St.,N,82,80,7.9,2
2026,3,12,Arizona,UCF,N,81,59,7.9,22
2025,11,4,Arizona St.,Southern Utah,H,81,64,2.6,14.4
2025,11,9,Arizona St.,Utah Tech,H,81,66,2.6,12.4
2025,11,14,Arizona St.,Gonzaga,H,65,77,2.6,-14.6
2025,11,17,Arizona St.,Georgia St.,H,75,62,2.6,10.4
2025,11,24,Arizona St.,Texas,N,87,86,2.6,1
2025,11,25,Arizona St.,Washington St.,N,100,94,2.6,6
2025,11,26,Arizona St.,Southern California,N,75,88,2.6,-13
2025,12,6,Arizona St.,Oklahoma,N,86,70,2.6,16
2025,12,9,Arizona St.,Northern Ariz.,H,73,48,2.6,22.4
2025,12,13,Arizona St.,Santa Clara,N,82,79,2.6,3
2025,12,21,Arizona St.,Oregon St.,H,75,78,2.6,-5.6
2026,1,3,Arizona St.,Colorado,H,89,95,2.6,-8.6
2026,1,10,Arizona St.,Kansas St.,H,87,84,2.6,0.4
2026,1,21,Arizona St.,West Virginia,H,63,75,2.6,-14.6
2026,1,24,Arizona St.,Cincinnati,H,82,68,2.6,11.4
2026,1,31,Arizona St.,Arizona,H,74,87,2.6,-15.6
2026,2,10,Arizona St.,Oklahoma St.,H,85,76,2.6,6.4
2026,2,17,Arizona St.,Texas Tech,H,72,67,2.6,2.4
2026,2,28,Arizona St.,Utah,H,73,60,2.6,10.4
2026,3,10,Arizona St.,Baylor,N,83,79,2.6,4
2026,3,11,Arizona St.,Iowa St.,N,42,91,2.6,-49
2026,3,3,Arizona St.,Kansas,H,70,60,2.6,7.4
2026,1,3,Ark.-Pine Bluff,Alabama A&M,H,95,83,-4.8,16.8
2026,1,5,Ark.-Pine Bluff,Alabama St.,H,90,79,-4.8,15.8
2026,1,17,Ark.-Pine Bluff,Florida A&M,H,67,71,-4.8,0.8
2026,1,19,Ark.-Pine Bluff,Bethune-Cookman,H,82,87,-4.8,-0.2
2026,2,7,Ark.-Pine Bluff,Alcorn,H,84,77,-4.8,11.8
2026,2,9,Ark.-Pine Bluff,Jackson St.,H,84,63,-4.8,25.8
2026,2,21,Ark.-Pine Bluff,Prairie View,H,84,82,-4.8,6.8
2026,2,19,Ark.-Pine Bluff,Texas Southern,H,64,83,-4.8,-14.2
2026,3,12,Ark.-Pine Bluff,Southern U.,N,81,84,-4.8,-3
2025,11,3,Arkansas,Southern U.,H,109,77,3,29
2025,11,11,Arkansas,Central Ark.,H,93,56,3,34
2025,11,14,Arkansas,Samford,H,79,75,3,1
2025,11,18,Arkansas,Winthrop,H,84,83,3,-2
2025,11,21,Arkansas,Jackson St.,H,115,61,3,51
2025,11,27,Arkansas,Duke,N,71,80,3,-9
2025,12,3,Arkansas,Louisville,H,89,80,3,6
2025,12,6,Arkansas,Fresno St.,H,82,58,3,21
2025,12,13,Arkansas,Texas Tech,N,93,86,3,7
2025,12,16,Arkansas,Queens (NC),H,108,80,3,25
2025,12,20,Arkansas,Houston,N,85,94,3,-9
2025,12,29,Arkansas,James Madison,H,103,74,3,26
2026,1,3,Arkansas,Tennessee,H,86,75,3,8
2026,1,14,Arkansas,South Carolina,H,108,74,3,31
2026,1,20,Arkansas,Vanderbilt,H,93,68,3,22
2026,1,24,Arkansas,LSU,H,85,81,3,1
2026,1,31,Arkansas,Kentucky,H,77,85,3,-11
2026,2,14,Arkansas,Auburn,H,88,75,3,10
2026,2,21,Arkansas,Missouri,H,94,86,3,5
2026,2,25,Arkansas,Texas A&M,H,99,84,3,12
2026,3,13,Arkansas,Oklahoma,N,82,79,3,3
2026,3,14,Arkansas,Ole Miss,N,93,90,3,3
2026,3,4,Arkansas,Texas,H,105,85,3,17
2025,11,24,Arkansas St.,Jacksonville St.,H,74,63,-0.8,11.8
2025,11,28,Arkansas St.,North Dakota St.,H,85,80,-0.8,5.8
2025,12,2,Arkansas St.,UT Arlington,H,83,63,-0.8,20.8
2026,1,3,Arkansas St.,James Madison,H,74,78,-0.8,-3.2
2026,1,7,Arkansas St.,Troy,H,86,74,-0.8,12.8
2026,1,10,Arkansas St.,Texas St.,H,83,82,-0.8,1.8
2026,1,28,Arkansas St.,Old Dominion,H,71,75,-0.8,-3.2
2026,1,31,Arkansas St.,Marshall,H,61,70,-0.8,-8.2
2026,2,7,Arkansas St.,Bowling Green,H,91,54,-0.8,37.8
2026,2,27,Arkansas St.,Louisiana,H,81,58,-0.8,23.8
2026,2,14,Arkansas St.,South Alabama,H,88,92,-0.8,-3.2
2026,2,24,Arkansas St.,Southern Miss.,H,89,84,-0.8,5.8
2026,2,11,Arkansas St.,ULM,H,103,70,-0.8,33.8
2026,3,5,Arkansas St.,Ga. Southern,N,77,80,-0.8,-3
2025,11,11,Army West Point,Duke,H,59,114,-1.6,-53.4
2025,11,15,Army West Point,Harvard,H,52,75,-1.6,-21.4
2025,11,25,Army West Point,East Texas A&M,N,67,84,-1.6,-17
2025,11,29,Army West Point,Manhattan,H,81,78,-1.6,4.6
2025,12,2,Army West Point,George Washington,H,70,84,-1.6,-12.4
2025,12,23,Army West Point,Binghamton,H,95,85,-1.6,11.6
2026,1,3,Army West Point,Colgate,H,69,76,-1.6,-5.4
2026,1,7,Army West Point,Loyola Maryland,H,76,84,-1.6,-6.4
2026,1,18,Army West Point,American,H,67,78,-1.6,-9.4
2026,1,28,Army West Point,Lehigh,H,67,64,-1.6,4.6
2026,1,31,Army West Point,Holy Cross,H,69,68,-1.6,2.6
2026,2,11,Army West Point,Boston U.,H,68,85,-1.6,-15.4
2026,2,25,Army West Point,Bucknell,H,73,75,-1.6,-0.4
2026,2,7,Army West Point,Lafayette,H,60,63,-1.6,-1.4
2026,2,21,Army West Point,Navy,H,63,81,-1.6,-16.4
2025,11,3,Auburn,Bethune-Cookman,H,95,90,12.1,-7.1
2025,11,6,Auburn,Merrimack,H,95,57,12.1,25.9
2025,11,11,Auburn,Wofford,H,93,62,12.1,18.9
2025,11,16,Auburn,Houston,N,72,73,12.1,-1
2025,11,19,Auburn,Jackson St.,H,112,66,12.1,33.9
2025,11,24,Auburn,Oregon,N,84,73,12.1,11
2025,11,25,Auburn,Michigan,N,72,102,12.1,-30
2025,11,26,Auburn,St. John's (NY),N,85,74,12.1,11
2025,12,3,Auburn,NC State,H,83,73,12.1,-2.1
2025,12,13,Auburn,Chattanooga,N,92,78,12.1,14
2025,12,20,Auburn,Purdue,N,60,88,12.1,-28
2025,12,29,Auburn,Queens (NC),H,106,65,12.1,28.9
2026,1,6,Auburn,Texas A&M,H,88,90,12.1,-14.1
2026,1,10,Auburn,Arkansas,H,95,73,12.1,9.9
2026,1,17,Auburn,South Carolina,H,71,67,12.1,-8.1
2026,1,28,Auburn,Texas,H,88,82,12.1,-6.1
2026,2,7,Auburn,Alabama,H,92,96,12.1,-16.1
2026,2,21,Auburn,Kentucky,H,75,74,12.1,-11.1
2026,2,28,Auburn,Ole Miss,H,79,85,12.1,-18.1
2026,2,10,Auburn,Vanderbilt,H,76,84,12.1,-20.1
2026,3,3,Auburn,LSU,H,88,74,12.1,1.9
2026,3,11,Auburn,Mississippi St.,N,79,61,12.1,18
2026,3,12,Auburn,Tennessee,N,62,72,12.1,-10
2025,11,25,Austin Peay,NIU,H,77,59,-6.2,24.2
2025,12,12,Austin Peay,ETSU,H,76,75,-6.2,7.2
2026,1,1,Austin Peay,North Florida,H,102,83,-6.2,25.2
2026,1,3,Austin Peay,Jacksonville,H,71,68,-6.2,9.2
2026,1,15,Austin Peay,Eastern Ky.,H,74,72,-6.2,8.2
2026,1,22,Austin Peay,FGCU,H,83,62,-6.2,27.2
2026,1,23,Austin Peay,Stetson,H,73,65,-6.2,14.2
2026,2,14,Austin Peay,Bellarmine,H,90,70,-6.2,26.2
2026,2,25,Austin Peay,Central Ark.,H,88,93,-6.2,1.2
2026,2,4,Austin Peay,Lipscomb,H,87,76,-6.2,17.2
2026,2,7,Austin Peay,North Ala.,H,91,62,-6.2,35.2
2026,3,7,Austin Peay,Queens (NC),N,83,90,-6.2,-7
2026,3,6,Austin Peay,Stetson,N,69,60,-6.2,9
2025,11,3,Ball St.,Louisiana,H,75,64,5.8,5.2
2025,11,15,Ball St.,Little Rock,H,62,68,5.8,-11.8
2025,11,28,Ball St.,Monmouth,N,73,80,5.8,-7
2025,11,30,Ball St.,Le Moyne,N,96,85,5.8,11
2025,12,9,Ball St.,South Dakota St.,H,64,68,5.8,-9.8
2025,12,20,Ball St.,Miami (OH),H,77,86,5.8,-14.8
2026,1,6,Ball St.,Eastern Mich.,H,52,74,5.8,-27.8
2026,1,16,Ball St.,Ohio,H,76,71,5.8,-0.8
2026,1,24,Ball St.,NIU,H,58,53,5.8,-0.8
2026,2,20,Ball St.,Akron,H,65,78,5.8,-18.8
2026,2,11,Ball St.,Buffalo,H,53,63,5.8,-15.8
2026,2,14,Ball St.,Kent St.,H,68,75,5.8,-12.8
2026,2,24,Ball St.,Massachusetts,H,74,73,5.8,-4.8
