opponent,count
Rivier,1
Emerson,1
Fisher College,1
Penn St.-York,1
Morris College,1
William Peace,1
Mount Olive,1
North Texas-Dallas,1
Texas-Permian Basin,1
Western New Mexico,1
St. Thomas (TX),1
Western New England,1
Plattsburgh State,1
Johnson & Wales (NC),1
Christendom,1
Bryant & Stratton - Albany,1
Bloomfield,1
Huntingdon,1
Voorhees,1
St. Ambrose,1
Hannibal LaGrange College,1
Campbellsville,1
Northwood (MI),1
Clinton College,1
Franklin College,1
Northern State,1
Brandeis,1
Thiel College,1
Bryant & Stratton College (OH),1
