projection_scope,projection_scope_label,tournament_name,display_date,selected_stats,projection_model,projection_model_label,weather_enabled,weather_am_wave_adjustment_per_round,weather_pm_wave_adjustment_per_round,weather_wind_volatility_multiplier,player_name,normalized_player_name,score_display,score_number,round_display,round_number,thru,started_on_back_nine,player_state,current_hole,remaining_current_scope,remaining_current_round,remaining_future_rounds,rounds_remaining_after_current,remaining_holes,remaining_par3_count,remaining_par4_count,remaining_par5_count,win_tie_pct_display,win_probability,win_solo_probability,tie_for_lead_probability,win_tie_probability,fair_value_yes_cents,group_size,group_win_probability,group_win_tie_probability,group_fair_value_cents,group_place_1_probability,group_place_2_probability,group_place_3_probability,group_place_4_probability,top_20_dead_heat_probability,top_20_raw_probability,top_10_dead_heat_probability,top_10_raw_probability,top_5_dead_heat_probability,top_5_raw_probability,expected_final_score_display,expected_final_score_number,baseline_remaining,total_par_adjustment,total_sg_adjustment,total_adjustment,playoff_sg_rating,weather_player_wave,weather_adjustment,score_input_total,score_input_total_source,score_input_round,score_input_round_source,score_input_completed_holes,score_input_completed_holes_source,par3_scoring_avg_value,par3_scoring_avg_source,par3_scoring_avg_field_mean,par4_scoring_avg_value,par4_scoring_avg_source,par4_scoring_avg_field_mean,par5_scoring_avg_value,par5_scoring_avg_source,par5_scoring_avg_field_mean,sg_total_value,sg_total_source,sg_total_field_mean,sg_t2g_value,sg_t2g_source,sg_t2g_field_mean,sg_ott_value,sg_ott_source,sg_ott_field_mean,sg_app_value,sg_app_source,sg_app_field_mean,sg_arg_value,sg_arg_source,sg_arg_field_mean,sg_putt_value,sg_putt_source,sg_putt_field_mean
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Min Woo Lee,min woo lee,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,1.6% / 0.6%,0.016032,0.0135,0.00625,0.01975,1.6,,,,,,,,,0.531468,0.559,0.269579,0.295625,0.121196,0.1365,-21389.78,-21389.78,0,,,-21389.7791,1485.222525,,0,0,stat_feed,0,stat_feed,0,stat_feed,3,stat_feed,3.0684,3.97,stat_feed,4.0243,4.49,stat_feed,4.5947,1.5628,stat_feed,-0.3469,1.26,stat_feed,-1781.4574,0.6782,stat_feed,-1781.2519,0.2292,stat_feed,-1781.3827,0.3526,stat_feed,-1781.2196,0.3642,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Ryo Hisatsune,ryo hisatsune,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,1.3% / 0.5%,0.012862,0.01125,0.004625,0.015875,1.29,,,,,,,,,0.495538,0.5235,0.242951,0.26575,0.105773,0.119125,-21389.41,-21389.41,0,,,-21389.4108,1485.093055,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.03,stat_feed,3.0684,3.97,stat_feed,4.0243,4.55,stat_feed,4.5947,1.0898,stat_feed,-0.3469,1.2905,stat_feed,-1781.4574,0.4936,stat_feed,-1781.2519,0.5912,stat_feed,-1781.3827,0.2058,stat_feed,-1781.2196,-0.0007,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Hideki Matsuyama,hideki matsuyama,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,1.4% / 0.4%,0.014146,0.0125,0.00375,0.01625,1.41,,,,,,,,,0.486526,0.5155,0.234095,0.25725,0.103369,0.11575,-21389.24,-21389.24,0,,,-21389.2423,1485.259555,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.98,stat_feed,3.0684,3.99,stat_feed,4.0243,4.49,stat_feed,4.5947,1.716,stat_feed,-0.3469,1.3227,stat_feed,-1781.4574,-0.0314,stat_feed,-1781.2519,0.8819,stat_feed,-1781.3827,0.4722,stat_feed,-1781.2196,0.3078,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Rickie Fowler,rickie fowler,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,1.0% / 0.3%,0.00962,0.0085,0.003,0.0115,0.96,,,,,,,,,0.445206,0.474375,0.205021,0.22375,0.082582,0.09525,-21388.41,-21388.41,0,,,-21388.4089,1485.098992,,0,0,stat_feed,0,stat_feed,0,stat_feed,3,stat_feed,3.0684,3.94,stat_feed,4.0243,4.58,stat_feed,4.5947,1.4756,stat_feed,-0.3469,0.8189,stat_feed,-1781.4574,0.418,stat_feed,-1781.2519,0.5279,stat_feed,-1781.3827,-0.1271,stat_feed,-1781.2196,0.5924,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Ryan Gerard,ryan gerard,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,1.0% / 0.2%,0.010383,0.009625,0.00225,0.011875,1.04,,,,,,,,,0.432011,0.459375,0.19228,0.212125,0.079594,0.089625,-21388.19,-21388.19,0,,,-21388.186,1485.070853,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.06,stat_feed,3.0684,3.97,stat_feed,4.0243,4.49,stat_feed,4.5947,1.4839,stat_feed,-0.3469,0.9088,stat_feed,-1781.4574,0.3515,stat_feed,-1781.2519,0.7488,stat_feed,-1781.3827,-0.1915,stat_feed,-1781.2196,0.2354,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Justin Rose,justin rose,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,0.7% / 0.3%,0.007323,0.006125,0.003375,0.0095,0.73,,,,,,,,,0.418239,0.44675,0.183571,0.202875,0.076348,0.085125,-21388.05,-21388.05,0,,,-21388.0519,1485.102266,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.1,stat_feed,3.0684,3.95,stat_feed,4.0243,4.58,stat_feed,4.5947,1.3927,stat_feed,-0.3469,1.0654,stat_feed,-1781.4574,0.1659,stat_feed,-1781.2519,0.9542,stat_feed,-1781.3827,-0.0547,stat_feed,-1781.2196,0.2019,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Kurt Kitayama,kurt kitayama,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,0.9% / 0.3%,0.008589,0.00775,0.002875,0.010625,0.86,,,,,,,,,0.430107,0.4595,0.185983,0.206375,0.07561,0.085625,-21388.05,-21388.05,0,,,-21388.0474,1484.988017,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.04,stat_feed,3.0684,3.95,stat_feed,4.0243,4.69,stat_feed,4.5947,1.0176,stat_feed,-0.3469,0.9906,stat_feed,-1781.4574,0.4578,stat_feed,-1781.2519,0.8259,stat_feed,-1781.3827,-0.2932,stat_feed,-1781.2196,0.041,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Tommy Fleetwood,tommy fleetwood,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,0.9% / 0.3%,0.008899,0.007625,0.00325,0.010875,0.89,,,,,,,,,0.420535,0.44975,0.190556,0.209375,0.075662,0.08575,-21387.97,-21387.97,0,,,-21387.9699,1485.14411,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.02,stat_feed,3.0684,4,stat_feed,4.0243,4.51,stat_feed,4.5947,1.3442,stat_feed,-0.3469,1.288,stat_feed,-1781.4574,0.5719,stat_feed,-1781.2519,0.3252,stat_feed,-1781.3827,0.391,stat_feed,-1781.2196,0.0562,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Jacob Bridgeman,jacob bridgeman,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,0.8% / 0.2%,0.007947,0.007375,0.001625,0.009,0.79,,,,,,,,,0.417056,0.44425,0.179061,0.196125,0.07481,0.084125,-21387.74,-21387.74,0,,,-21387.7448,1485.223162,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.03,stat_feed,3.0684,3.95,stat_feed,4.0243,4.5,stat_feed,4.5947,1.8116,stat_feed,-0.3469,0.7954,stat_feed,-1781.4574,0.2084,stat_feed,-1781.2519,0.5849,stat_feed,-1781.3827,0.0021,stat_feed,-1781.2196,1.0483,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Sam Stevens,sam stevens,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,0.8% / 0.4%,0.008318,0.007,0.003875,0.010875,0.83,,,,,,,,,0.410742,0.439,0.176908,0.195,0.074277,0.08325,-21387.71,-21387.71,0,,,-21387.7131,1484.996617,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.06,stat_feed,3.0684,3.96,stat_feed,4.0243,4.58,stat_feed,4.5947,1.0508,stat_feed,-0.3469,1.0333,stat_feed,-1781.4574,0.5484,stat_feed,-1781.2519,0.4692,stat_feed,-1781.3827,0.0157,stat_feed,-1781.2196,-0.0258,stat_feed,-1781.2296
