player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Burgoon, Bronson",11082,kft,-,kft-119 visa argentina open presented by macro-T15_kft-astara chile classic presented by scotiabank-T11_pga-texas children's houston open-T10_pga-valero texas open-T54_kft-tulum championship at pga riviera maya-T27,0.8,0.76
"Wallace, Matt",20706,pga,pga,pga-texas children's houston open-T51_pga-valero texas open-T2_pga-rbc heritage-T55_pga-zurich classic of new orleans-T30_pga-cadillac championship-T23,0.79,0.33
"Puig, David",28984,liv,alt,liv-singapore-T21_liv-south africa-T6_euro-hero indian open-CUT_liv-mexico city-2_euro-turkish airlines open-T18,0.78,0.02
"Hall, Harry",27194,pga,pga,pga-the players championship-CUT_pga-texas children's houston open-T28_major-masters tournament-CUT_pga-rbc heritage-T65_pga-cadillac championship-T30,0.76,-0.54
"Taylor, Nick",13126,pga,pga,pga-valspar championship-CUT_pga-valero texas open-T28_major-masters tournament-T41_pga-rbc heritage-T60_pga-cadillac championship-T9,0.75,-0.31
"Kim, Michael",17543,pga,pga,pga-valspar championship-T30_pga-valero texas open-T2_major-masters tournament-CUT_pga-rbc heritage-T25_pga-cadillac championship-T18,0.75,0.25
"Grace, Branden",11952,liv,alt,euro-investec south african open championship-T20_liv-hong kong-T24_liv-singapore-T33_liv-south africa-T3_liv-mexico city-T5,0.74,-0.17
"Niemann, Joaquin",18079,liv,alt,liv-adelaide-T12_liv-hong kong-T41_liv-singapore-4_liv-south africa-T12_liv-mexico city-T20,0.72,0.23
"Reitan, Kristoffer",21407,pga,pga,pga-texas children's houston open-CUT_pga-valero texas open-T10_major-masters tournament-T41_pga-zurich classic of new orleans-T2_pga-cadillac championship-T14,0.71,-0.06
"Thorbjornsen, Michael",26649,pga,-,pga-texas children's houston open-T14_pga-valero texas open-CUT_pga-rbc heritage-T33_pga-zurich classic of new orleans-T13_pga-cadillac championship-T53,0.71,-0.1
"Meissner, Mac",28159,pga,opp,pga-the players championship-CUT_pga-valspar championship-CUT_pga-texas children's houston open-T28_pga-valero texas open-T30_pga-zurich classic of new orleans-T10,0.7,0.23
"Ramey, Chad",19840,pga,opp,pga-the players championship-T27_pga-valspar championship-T64_pga-texas children's houston open-T28_pga-valero texas open-T39_pga-zurich classic of new orleans-T32,0.69,0.6
"Vincent, Scott",14559,liv,alt,liv-adelaide-T24_liv-hong kong-T31_liv-singapore-T17_liv-south africa-11_liv-mexico city-4,0.67,0.61
"Brown, Blades",32152,kft,opp,pga-valspar championship-T40_kft-club car championship at the landings golf  athletic club-3_kft-lecom suncoast classic-CUT_kft-tulum championship at pga riviera maya-2_pga-zurich classic of new orleans-T26,0.64,0.98
"Dumont De Chassart, Adrien",22002,pga,opp,pga-puerto rico open-T26_pga-valspar championship-T26_pga-texas children's houston open-T12_pga-valero texas open-T49_pga-zurich classic of new orleans-T17,0.63,0.31
"Bauchou, Zach",19846,pga,opp,pga-the players championship-T50_pga-valspar championship-CUT_pga-texas children's houston open-CUT_pga-valero texas open-T28_pga-zurich classic of new orleans-T13,0.62,0.74
"Kitayama, Kurt",21891,pga,pga,pga-the players championship-CUT_pga-texas children's houston open-T60_major-masters tournament-51_pga-rbc heritage-T8_pga-cadillac championship-T9,0.61,-0.56
"Gerard, Ryan",29767,pga,pga,pga-texas children's houston open-CUT_major-masters tournament-T38_pga-rbc heritage-T33_pga-zurich classic of new orleans-34_pga-cadillac championship-T30,0.59,-0.2
"Leishman, Marc",7649,liv,alt,liv-adelaide-T8_liv-hong kong-T24_liv-singapore-T15_liv-south africa-T31_liv-mexico city-T10,0.57,0.32
"Theegala, Sahith",23014,pga,pga,pga-valspar championship-CUT_pga-texas children's houston open-T10_pga-rbc heritage-T25_pga-zurich classic of new orleans-T24_pga-cadillac championship-T30,0.55,0.01
"Brennan, Michael",29197,pga,-,pga-valspar championship-CUT_pga-texas children's houston open-T28_major-masters tournament-T24_pga-rbc heritage-T42_pga-zurich classic of new orleans-CUT,0.55,0.18
"Schmid, Matti",20722,pga,opp,pga-puerto rico open-T5_pga-the players championship-T46_pga-valspar championship-T40_pga-texas children's houston open-74_pga-zurich classic of new orleans-T10,0.53,0.37
"Rozner, Antoine",18770,euro,euro,euro-magical kenya open presented by absa-T14_euro-investec south african open championship-T24_euro-joburg open-CUT_euro-volvo china open-T8_euro-turkish airlines open-T29,0.52,0.52
"Ancer, Abraham",18238,liv,alt,liv-adelaide-T12_liv-hong kong-T18_liv-singapore-T39_liv-south africa-T3_liv-mexico city-T22,0.52,0.07
"Lee, Richard",12413,liv,alt,liv-singapore-2_liv-south africa-T31_asa-international series japan-CUT_liv-mexico city-T15_kor-woori financial group championship-T4,0.52,0.79
"Homa, Max",17538,pga,pga,pga-valspar championship-CUT_pga-valero texas open-CUT_major-masters tournament-T9_pga-rbc heritage-T69_pga-cadillac championship-T38,0.51,0.05
"Eckroat, Austin",26653,pga,opp,pga-puerto rico open-T42_pga-valspar championship-CUT_pga-texas children's houston open-T39_pga-valero texas open-T10_pga-zurich classic of new orleans-T6,0.5,0.39
"Johnson, Michael",15120,kft,-,kft-119 visa argentina open presented by macro-T25_kft-astara chile classic presented by scotiabank-T2_kft-club car championship at the landings golf  athletic club-T15_kft-lecom suncoast classic-T58_kft-tulum championship at pga riviera maya-T13,0.5,0.58
"Ayora, Angel",30445,euro,euro,euro-joburg open-T18_euro-hainan classic presented by maextro-T28_euro-hero indian open-T11_euro-volvo china open-T33_euro-turkish airlines open-T18,0.48,-0.09
"McCarthy, Denny",19870,pga,pga,pga-valspar championship-T26_pga-texas children's houston open-T12_pga-valero texas open-CUT_pga-rbc heritage-T65_pga-cadillac championship-T30,0.48,-0.08
"Dossey, Cooper",29347,kft,-,kft-119 visa argentina open presented by macro-T64_kft-astara chile classic presented by scotiabank-T2_kft-club car championship at the landings golf  athletic club-T15_kft-lecom suncoast classic-T9_kft-tulum championship at pga riviera maya-CUT,0.48,0.7
"Johnson, Dustin",12422,liv,alt,liv-hong kong-T24_liv-singapore-T10_liv-south africa-T31_major-masters tournament-T33_liv-mexico city-T17,0.47,0.44
"VanArragon, Caleb",31392,kft,-,kft-119 visa argentina open presented by macro-T64_kft-astara chile classic presented by scotiabank-T18_kft-club car championship at the landings golf  athletic club-T30_kft-lecom suncoast classic-T4_kft-tulum championship at pga riviera maya-T13,0.45,0.68
"Novak, Andrew",23475,pga,pga,pga-valero texas open-T14_major-masters tournament-CUT_pga-rbc heritage-T16_pga-zurich classic of new orleans-T10_pga-cadillac championship-T65,0.44,0.14
"Hoey, Rico",23504,pga,opp,pga-the players championship-T62_pga-valspar championship-T26_pga-texas children's houston open-T28_pga-valero texas open-T39_pga-zurich classic of new orleans-T26,0.43,0.15
"Olesen, Jacob Skov",25611,euro,euro,euro-investec south african open championship-T63_euro-joburg open-T36_euro-hero indian open-T16_pga-zurich classic of new orleans-T4_euro-turkish airlines open-T4,0.43,0.51
"Jaeger, Stephan",16394,pga,opp,pga-the players championship-T62_pga-valspar championship-T7_pga-texas children's houston open-T28_pga-valero texas open-T59_pga-zurich classic of new orleans-CUT,0.42,0.26
"Lindell, Oliver",20085,euro,euro,euro-investec south african open championship-T29_euro-hainan classic presented by maextro-T14_euro-hero indian open-T13_euro-volvo china open-T33_euro-turkish airlines open-T43,0.41,-0.06
"Ortiz, Carlos",14735,liv,alt,liv-hong kong-6_liv-singapore-T21_liv-south africa-8_major-masters tournament-CUT_liv-mexico city-T17,0.4,-0.05
"Rai, Aaron",18554,pga,opp,pga-cognizant classic in the palm beaches-T23_pga-the players championship-CUT_pga-valspar championship-CUT_major-masters tournament-48_pga-zurich classic of new orleans-T24,0.39,-0.32
"Oosthuizen, Louis",7672,liv,alt,liv-adelaide-T37_liv-hong kong-T8_liv-singapore-T21_liv-south africa-T17_liv-mexico city-T12,0.37,0.23
"Ferguson, Ewen",21646,euro,euro,euro-investec south african open championship-T9_euro-joburg open-T57_euro-hero indian open-T6_euro-volvo china open-CUT_euro-turkish airlines open-T4,0.36,0.36
"Jordan, Matthew",25601,euro,-,euro-magical kenya open presented by absa-7_euro-investec south african open championship-T20_euro-hainan classic presented by maextro-T28_euro-hero indian open-T29_euro-turkish airlines open-T43,0.32,0.65
"Parry, John",13764,pga,opp,pga-puerto rico open-T8_pga-valspar championship-T55_pga-texas children's houston open-T48_pga-valero texas open-T14_pga-zurich classic of new orleans-T13,0.32,-0.08
"Whaley, Vince",25908,pga,opp,pga-the players championship-CUT_pga-valspar championship-T68_pga-texas children's houston open-T28_pga-valero texas open-T54_pga-zurich classic of new orleans-CUT,0.3,-0.12
"Lindberg, Mikael",20084,euro,-,euro-magical kenya open presented by absa-T29_euro-hainan classic presented by maextro-T45_euro-hero indian open-CUT_euro-volvo china open-3_euro-turkish airlines open-1,0.29,0.32
"Horschel, Billy",11276,pga,opp,pga-valspar championship-T68_pga-texas children's houston open-CUT_pga-valero texas open-T36_pga-rbc heritage-80_pga-zurich classic of new orleans-T6,0.29,0.42
"Vilips, Karl",24304,pga,opp,pga-valspar championship-T64_pga-texas children's houston open-T19_pga-valero texas open-CUT_pga-rbc heritage-T33_pga-zurich classic of new orleans-T13,0.29,0.63
"Howell III, Charles",6892,liv,alt,liv-adelaide-T32_liv-hong kong-T18_liv-singapore-T28_liv-south africa-T9_liv-mexico city-T20,0.27,-0.2
