year,month,day,team,opponent,location,teamscore,oppscore
2019,1,2,A&M-Corpus Christi,Central Ark.,H,87,75
2018,11,7,A&M-Corpus Christi,Howard,H,81,34
2019,1,19,A&M-Corpus Christi,New Orleans,H,76,61
2019,3,9,A&M-Corpus Christi,Houston Baptist,H,76,69
2019,1,23,A&M-Corpus Christi,Nicholls St.,H,75,73
2019,2,9,A&M-Corpus Christi,Incarnate Word,H,70,61
2018,11,12,A&M-Corpus Christi,UTRGV,H,69,76
2019,2,13,A&M-Corpus Christi,Sam Houston St.,H,69,70
2019,2,27,A&M-Corpus Christi,Abilene Christian,H,64,73
2019,2,6,A&M-Corpus Christi,Southeastern La.,H,58,64
2019,2,23,A&M-Corpus Christi,Lamar University,H,58,63
2018,12,5,A&M-Corpus Christi,Texas St.,H,55,61
2018,12,20,A&M-Corpus Christi,UTSA,H,50,64
2018,11,17,A&M-Corpus Christi,UC Davis,N,54,57
2019,3,13,A&M-Corpus Christi,Central Ark.,N,53,73
2018,11,9,Abilene Christian,Arkansas St.,H,94,73
2018,11,27,Abilene Christian,Howard,H,90,53
2019,2,9,Abilene Christian,Sam Houston St.,H,85,90
2018,12,4,Abilene Christian,Campbell,H,83,68
2019,3,9,Abilene Christian,Incarnate Word,H,81,52
2019,1,26,Abilene Christian,Central Ark.,H,79,56
2019,1,19,Abilene Christian,Northwestern St.,H,78,69
2019,1,30,Abilene Christian,A&M-Corpus Christi,H,78,71
2019,1,16,Abilene Christian,Houston Baptist,H,75,68
2019,3,5,Abilene Christian,SFA,H,72,58
2019,1,2,Abilene Christian,New Orleans,H,68,58
2019,2,23,Abilene Christian,Southeastern La.,H,66,75
2019,3,16,Abilene Christian,New Orleans,N,77,60
2018,11,22,Abilene Christian,Elon,N,72,56
2019,3,15,Abilene Christian,Southeastern La.,N,69,66
2018,11,24,Abilene Christian,UC Riverside,N,60,48
2019,3,21,Abilene Christian,Kentucky,N,44,79
2019,1,16,Air Force,UNLV,H,106,88
2018,11,6,Air Force,Denver,H,90,65
2018,11,28,Air Force,Missouri St.,H,88,69
2019,2,23,Air Force,San Jose St.,H,82,68
2019,2,6,Air Force,Wyoming,H,81,76
2019,3,5,Air Force,Nevada,H,79,90
2019,1,22,Air Force,Boise St.,H,74,60
2018,12,5,Air Force,Denver,H,73,65
2018,12,28,Air Force,UC Riverside,H,72,60
2019,1,12,Air Force,San Diego St.,H,62,48
2019,2,16,Air Force,Utah St.,H,62,76
2018,12,8,Air Force,Army West Point,H,61,66
2019,1,2,Air Force,New Mexico,H,58,65
2018,11,24,Air Force,Colorado,H,56,93
2019,2,2,Air Force,Colorado St.,H,53,85
2019,3,13,Air Force,San Jose St.,N,87,56
2018,11,16,Air Force,UMBC,N,72,77
2018,11,18,Air Force,South Dakota,N,65,62
2018,11,19,Air Force,High Point,N,62,69
2019,3,14,Air Force,Fresno St.,N,50,76
2019,3,5,Akron,Bowling Green,H,91,67
2018,11,16,Akron,Chicago St.,H,87,46
2018,11,28,Akron,Alabama St.,H,86,54
2018,12,18,Akron,Tennessee St.,H,82,60
2019,3,11,Akron,American,H,80,51
2018,12,15,Akron,Marshall,H,74,75
2019,2,8,Akron,Kent St.,H,72,53
2018,12,1,Akron,Detroit Mercy,H,71,59
2019,1,22,Akron,Central Mich.,H,70,67
2019,2,12,Akron,Buffalo,H,70,76
2019,2,23,Akron,Miami (OH),H,70,58
2019,1,26,Akron,Northern Ill.,H,67,65
2019,1,5,Akron,Western Mich.,H,56,48
2019,1,15,Akron,Eastern Mich.,H,51,49
2019,3,2,Akron,Ohio,H,49,73
2018,11,10,Akron,Youngstown St.,N,98,69
2018,11,19,Akron,Clemson,N,69,72
2018,11,20,Akron,Illinois St.,N,68,73
2018,11,21,Akron,St. Bonaventure,N,61,49
2019,3,14,Akron,Buffalo,N,46,82
2019,2,6,Alabama,Georgia,H,89,74
2019,1,29,Alabama,Mississippi St.,H,83,79
2018,11,6,Alabama,Southern U.,H,82,62
2018,11,11,Alabama,Appalachian St.,H,81,73
2018,12,4,Alabama,Georgia St.,H,80,83
2019,1,12,Alabama,Texas A&M,H,80,81
2019,3,20,Alabama,Norfolk St.,H,79,80
2018,11,26,Alabama,Murray St.,H,78,72
2019,1,5,Alabama,Kentucky,H,77,75
2018,12,9,Alabama,Arizona,H,76,73
2019,1,22,Alabama,Ole Miss,H,74,53
2018,12,21,Alabama,Penn St.,H,73,64
2019,3,2,Alabama,LSU,H,69,74
2019,2,23,Alabama,Vanderbilt,H,68,61
2019,3,5,Alabama,Auburn,H,60,66
2019,2,16,Alabama,Florida,H,53,71
2018,11,18,Alabama,Wichita St.,N,90,86
2018,12,18,Alabama,Liberty,N,84,75
2018,11,16,Alabama,Ball St.,N,79,61
2019,3,14,Alabama,Ole Miss,N,62,57
2019,3,15,Alabama,Kentucky,N,55,73
2018,11,15,Alabama,Northeastern,N,52,68
2019,2,9,Alabama A&M,Mississippi Val.,H,78,63
2019,1,28,Alabama A&M,Alcorn,H,71,62
2019,1,26,Alabama A&M,Southern U.,H,68,62
2019,1,7,Alabama A&M,Grambling,H,65,60
2019,3,2,Alabama A&M,Prairie View,H,65,72
2018,12,1,Alabama A&M,Austin Peay,H,61,73
2019,3,4,Alabama A&M,Texas Southern,H,61,66
2019,2,11,Alabama A&M,Ark.-Pine Bluff,H,60,69
2018,12,9,Alabama A&M,Samford,H,59,77
2018,11,29,Alabama A&M,UAB,H,57,67
2019,1,19,Alabama A&M,Alabama St.,H,54,72
2019,1,5,Alabama A&M,Jackson St.,H,51,54
2018,12,22,Alabama A&M,Tulane,N,67,59
2018,12,21,Alabama A&M,La Salle,N,57,80
2019,2,11,Alabama St.,Mississippi Val.,H,82,59
2019,1,5,Alabama St.,Grambling,H,74,53
2019,1,26,Alabama St.,Alcorn,H,74,59
2019,1,28,Alabama St.,Southern U.,H,69,65
2019,2,9,Alabama St.,Ark.-Pine Bluff,H,69,75
2019,3,4,Alabama St.,Prairie View,H,69,96
2019,2,16,Alabama St.,Alabama A&M,H,68,62
2019,3,2,Alabama St.,Texas Southern,H,68,78
2019,1,7,Alabama St.,Jackson St.,H,59,57
2018,12,22,Alabama St.,Campbell,N,69,70
2019,3,15,Alabama St.,Texas Southern,N,66,80
2018,12,21,Alabama St.,Liberty,N,55,73
2019,1,26,Albany (NY),Hartford,H,84,77
2019,2,23,Albany (NY),UMBC,H,84,75
2018,12,8,Albany (NY),Monmouth,H,82,63
2018,12,20,Albany (NY),Manhattan,H,77,67
2019,1,23,Albany (NY),Stony Brook,H,66,67
2018,11,20,Albany (NY),Holy Cross,H,65,69
2019,2,2,Albany (NY),Binghamton,H,64,50
2019,1,12,Albany (NY),Maine,H,62,66
2018,11,14,Albany (NY),Boston U.,H,61,71
2019,2,27,Albany (NY),New Hampshire,H,58,62
2019,2,13,Albany (NY),UMass Lowell,H,54,86
2018,12,15,Albany (NY),Dartmouth,H,52,61
2019,1,5,Albany (NY),Vermont,H,51,80
2018,11,29,Albany (NY),LIU Brooklyn,N,77,80
2018,11,30,Albany (NY),Dartmouth,N,77,91
2019,2,2,Alcorn,Southern U.,H,76,64
2019,1,21,Alcorn,Ark.-Pine Bluff,H,74,69
2019,2,23,Alcorn,Alabama St.,H,74,69
2019,1,5,Alcorn,Texas Southern,H,70,87
2019,2,9,Alcorn,Jackson St.,H,66,52
2019,1,19,Alcorn,Mississippi Val.,H,63,57
2019,2,25,Alcorn,Alabama A&M,H,61,55
2019,1,7,Alcorn,Prairie View,H,54,57
2019,2,11,Alcorn,Grambling,H,53,65
2018,11,24,Alcorn,Savannah St.,N,75,80
2018,12,4,American,Saint Francis (PA),H,95,82
2019,1,2,American,Boston U.,H,86,74
2019,2,13,American,Loyola Maryland,H,84,86
2018,12,22,American,UMES,H,82,58
2019,2,16,American,Colgate,H,81,83
2019,1,19,American,Lafayette,H,79,84
2019,1,26,American,Bucknell,H,76,68
2019,1,9,American,Navy,H,71,63
2019,2,9,American,Army West Point,H,71,68
2018,11,16,American,New Hampshire,H,68,44
2019,2,2,American,Holy Cross,H,66,49
2019,2,27,American,Lehigh,H,66,80
2018,11,30,American,Wagner,H,58,64
2019,3,7,American,Navy,H,56,60
2018,12,18,American,Mount St. Mary's,H,55,56
2019,1,31,Appalachian St.,Louisiana,H,104,77
2018,12,4,Appalachian St.,Howard,H,100,86
2019,2,16,Appalachian St.,Coastal Caro.,H,88,79
2019,2,2,Appalachian St.,La.-Monroe,H,85,84
2018,12,8,Appalachian St.,N.C. Central,H,82,73
2019,2,21,Appalachian St.,Georgia St.,H,75,80
2019,1,10,Appalachian St.,UT Arlington,H,72,82
2019,3,7,Appalachian St.,Troy,H,72,64
2019,3,9,Appalachian St.,South Alabama,H,71,78
2019,1,12,Appalachian St.,Texas St.,H,69,70
2019,2,23,Appalachian St.,Ga. Southern,H,69,92
2018,11,18,Appalachian St.,Ball St.,N,86,94
2018,11,16,Appalachian St.,Wichita St.,N,76,82
