year,month,day,team,opponent,location,teamscore,oppscore
2018,11,15,Appalachian St.,Purdue,N,70,92
2018,11,29,Arizona,Ga. Southern,H,100,70
2018,11,7,Arizona,Houston Baptist,H,90,60
2019,1,5,Arizona,Utah,H,84,81
2018,11,11,Arizona,Cal Poly,H,82,61
2019,1,19,Arizona,Oregon St.,H,82,71
2018,12,6,Arizona,Utah Valley,H,80,69
2018,11,14,Arizona,UTEP,H,79,46
2019,2,21,Arizona,California,H,76,51
2018,12,22,Arizona,UC Davis,H,70,68
2019,2,24,Arizona,Stanford,H,70,54
2019,1,3,Arizona,Colorado,H,64,56
2019,3,9,Arizona,Arizona St.,H,64,72
2018,12,19,Arizona,Montana,H,61,42
2019,2,7,Arizona,Washington,H,60,67
2019,2,9,Arizona,Washington St.,H,55,69
2019,1,17,Arizona,Oregon,H,54,59
2018,12,15,Arizona,Baylor,H,49,58
2018,11,20,Arizona,Gonzaga,N,74,91
2018,11,19,Arizona,Iowa St.,N,71,66
2019,3,13,Arizona,Southern California,N,65,78
2018,11,21,Arizona,Auburn,N,57,73
2018,11,6,Arizona St.,Cal St. Fullerton,H,102,94
2019,1,31,Arizona St.,Arizona,H,95,88
2018,11,12,Arizona St.,Long Beach St.,H,90,58
2018,11,28,Arizona St.,Omaha,H,89,71
2019,1,3,Arizona St.,Utah,H,86,96
2018,12,1,Arizona St.,Texas Southern,H,83,71
2019,1,5,Arizona St.,Colorado,H,83,61
2018,11,9,Arizona St.,McNeese,H,80,52
2018,12,22,Arizona St.,Kansas,H,80,76
2019,2,20,Arizona St.,Stanford,H,80,62
2019,1,19,Arizona St.,Oregon,H,78,64
2019,2,9,Arizona St.,Washington,H,75,63
2019,1,17,Arizona St.,Oregon St.,H,70,67
2019,2,7,Arizona St.,Washington St.,H,70,91
2019,2,24,Arizona St.,California,H,69,59
2018,12,29,Arizona St.,Princeton,H,66,67
2018,11,21,Arizona St.,Utah St.,N,87,82
2019,3,14,Arizona St.,UCLA,N,83,72
2019,3,15,Arizona St.,Oregon,N,75,79
2019,3,20,Arizona St.,St. John's (NY),N,74,65
2019,3,22,Arizona St.,Buffalo,N,74,91
2018,11,19,Arizona St.,Mississippi St.,N,72,67
2018,12,7,Arizona St.,Nevada,N,66,72
2019,1,26,Ark.-Pine Bluff,Texas Southern,H,90,86
2019,1,12,Ark.-Pine Bluff,Alabama St.,H,82,71
2019,2,18,Ark.-Pine Bluff,Alcorn,H,73,62
2019,3,2,Ark.-Pine Bluff,Grambling,H,70,66
2019,1,5,Ark.-Pine Bluff,Mississippi Val.,H,64,52
2019,1,28,Ark.-Pine Bluff,Prairie View,H,63,79
2019,2,16,Ark.-Pine Bluff,Southern U.,H,61,45
2019,3,4,Ark.-Pine Bluff,Jackson St.,H,56,57
2019,1,14,Ark.-Pine Bluff,Alabama A&M,H,50,49
2018,11,23,Ark.-Pine Bluff,California Baptist,N,115,107
2018,12,1,Arkansas,FIU,H,121,89
2018,11,21,Arkansas,Montana St.,H,90,68
2019,1,12,Arkansas,LSU,H,88,94
2019,3,9,Arkansas,Alabama,H,82,70
2018,11,12,Arkansas,UC Davis,H,81,58
2019,2,23,Arkansas,Texas A&M,H,80,87
2018,11,23,Arkansas,UT Arlington,H,78,60
2018,12,8,Arkansas,Western Ky.,H,77,78
2018,12,28,Arkansas,Austin Peay,H,76,65
2019,3,2,Arkansas,Ole Miss,H,74,73
2018,11,18,Arkansas,Indiana,H,73,72
2018,12,22,Arkansas,Texas St.,H,73,70
2019,1,23,Arkansas,Missouri,H,72,60
2019,1,29,Arkansas,Georgia,H,70,60
2019,2,5,Arkansas,Vanderbilt,H,69,66
2019,2,16,Arkansas,Mississippi St.,H,67,77
2018,12,19,Arkansas,Georgia Tech,H,65,69
2019,1,9,Arkansas,Florida,H,51,57
2018,12,15,Arkansas,UTSA,N,79,67
2018,11,9,Arkansas,Texas,N,71,73
2019,3,14,Arkansas,Florida,N,50,66
2018,12,4,Arkansas St.,Evansville,H,87,77
2019,3,9,Arkansas St.,Louisiana,H,87,90
2019,1,12,Arkansas St.,Troy,H,85,90
2019,2,16,Arkansas St.,UT Arlington,H,83,79
2019,1,24,Arkansas St.,Appalachian St.,H,82,81
2018,12,14,Arkansas St.,Fla. Atlantic,H,75,71
2019,2,14,Arkansas St.,Texas St.,H,74,84
2019,3,7,Arkansas St.,La.-Monroe,H,73,72
2019,2,23,Arkansas St.,Little Rock,H,72,65
2018,12,18,Arkansas St.,Missouri St.,H,71,63
2019,1,10,Arkansas St.,South Alabama,H,66,65
2019,1,26,Arkansas St.,Coastal Caro.,H,64,77
2018,11,24,Arkansas St.,Eastern Ill.,N,86,90
2018,11,25,Arkansas St.,Gardner-Webb,N,77,69
2018,11,23,Arkansas St.,UNCW,N,64,78
2019,1,16,Army West Point,Colgate,H,91,81
2019,2,27,Army West Point,Loyola Maryland,H,79,69
2019,1,5,Army West Point,Lafayette,H,77,69
2019,1,23,Army West Point,Holy Cross,H,76,57
2018,11,6,Army West Point,Marist,H,73,69
2019,1,19,Army West Point,Navy,H,72,61
2019,2,13,Army West Point,Boston U.,H,71,61
2019,2,2,Army West Point,Lehigh,H,70,75
2018,11,28,Army West Point,Binghamton,H,67,56
2018,12,22,Army West Point,Niagara,H,66,78
2019,2,24,Army West Point,American,H,66,77
2018,12,1,Army West Point,Fairfield,H,63,60
2019,1,2,Army West Point,Bucknell,H,63,64
2018,11,17,Army West Point,UMass Lowell,N,85,92
2018,11,16,Army West Point,Sacred Heart,N,78,79
2018,11,6,Auburn,South Alabama,H,101,58
2018,11,28,Auburn,Saint Peter's,H,99,49
2018,12,29,Auburn,North Florida,H,95,49
2018,12,22,Auburn,Murray St.,H,93,88
2019,1,12,Auburn,Georgia,H,93,78
2019,1,30,Auburn,Missouri,H,92,58
2018,11,9,Auburn,Washington,H,88,66
2019,2,2,Auburn,Alabama,H,84,63
2019,3,9,Auburn,Tennessee,H,84,80
2018,12,8,Auburn,Dayton,H,82,72
2019,1,19,Auburn,Kentucky,H,80,82
2019,3,2,Auburn,Mississippi St.,H,80,75
2019,2,20,Auburn,Arkansas,H,79,56
2019,2,5,Auburn,Florida,H,76,62
2018,12,4,Auburn,UNC Asheville,H,67,41
2019,2,13,Auburn,Ole Miss,H,55,60
2019,3,29,Auburn,North Carolina,N,97,80
2019,3,23,Auburn,Kansas,N,89,75
2018,11,19,Auburn,Xavier,N,88,79
2019,3,17,Auburn,Tennessee,N,84,64
2019,3,14,Auburn,Missouri,N,81,71
2019,3,21,Auburn,New Mexico St.,N,78,77
2019,3,31,Auburn,Kentucky,N,77,71
2018,12,15,Auburn,UAB,N,75,71
2018,11,21,Auburn,Arizona,N,73,57
2019,3,15,Auburn,South Carolina,N,73,64
2018,11,20,Auburn,Duke,N,72,78
2019,3,16,Auburn,Florida,N,65,62
2019,4,6,Auburn,Virginia,N,62,63
2018,11,6,Austin Peay,Oakland,H,114,53
2018,12,15,Austin Peay,Purdue Fort Wayne,H,95,68
2019,2,9,Austin Peay,Eastern Ill.,H,94,86
2019,1,3,Austin Peay,Eastern Ky.,H,93,75
2019,1,26,Austin Peay,Belmont,H,92,96
2019,2,23,Austin Peay,UT Martin,H,92,78
2019,1,24,Austin Peay,Tennessee St.,H,89,74
2019,2,21,Austin Peay,Southeast Mo. St.,H,83,70
2019,1,5,Austin Peay,Morehead St.,H,81,67
2019,2,7,Austin Peay,SIUE,H,80,45
2019,2,14,Austin Peay,Murray St.,H,71,73
2019,3,7,Austin Peay,Morehead St.,N,95,81
2018,12,21,Austin Peay,Campbell,N,88,75
2018,11,16,Austin Peay,Central Conn. St.,N,80,78
2018,12,22,Austin Peay,Liberty,N,75,66
2018,11,18,Austin Peay,Campbell,N,72,78
2019,3,8,Austin Peay,Belmont,N,67,83
2018,12,29,Ball St.,Delaware St.,H,116,57
2018,12,20,Ball St.,Howard,H,98,71
2018,11,6,Ball St.,Indiana St.,H,86,69
2018,11,24,Ball St.,Evansville,H,82,72
2019,1,8,Ball St.,Eastern Mich.,H,82,84
2019,2,2,Ball St.,Kent St.,H,80,83
2019,2,9,Ball St.,Western Mich.,H,79,59
2019,2,26,Ball St.,Toledo,H,72,80
2019,1,22,Ball St.,Miami (OH),H,65,71
2019,2,16,Ball St.,Akron,H,57,56
2019,2,23,Ball St.,Central Mich.,H,57,64
2019,3,8,Ball St.,Northern Ill.,H,57,64
2019,1,12,Ball St.,Ohio,H,52,70
2018,11,18,Ball St.,Appalachian St.,N,94,86
2019,3,14,Ball St.,Bowling Green,N,86,99
2018,11,15,Ball St.,Virginia Tech,N,64,73
2018,11,16,Ball St.,Alabama,N,61,79
2018,11,12,Baylor,Prairie View,H,91,80
2019,2,2,Baylor,TCU,H,90,64
2018,12,29,Baylor,New Orleans,H,84,44
2019,2,27,Baylor,Texas,H,84,83
2019,2,23,Baylor,West Virginia,H,82,75
2018,11,16,Baylor,Nicholls St.,H,81,54
2018,11,10,Baylor,Southern U.,H,80,53
2019,1,8,Baylor,Iowa St.,H,73,70
2019,1,19,Baylor,Texas Tech,H,73,62
2019,1,26,Baylor,Alabama,H,73,68
2018,11,6,Baylor,Texas Southern,H,69,72
2019,1,12,Baylor,Kansas,H,68,73
2019,3,6,Baylor,Oklahoma St.,H,64,67
2018,11,27,Baylor,South Dakota,H,63,57
2019,2,9,Baylor,Kansas St.,H,63,70
2019,2,11,Baylor,Oklahoma,H,59,53
2018,12,18,Baylor,SFA,H,58,59
2018,12,21,Baylor,Oregon,H,57,47
2019,3,21,Baylor,Syracuse,N,78,69
2018,11,24,Baylor,George Mason,N,72,61
2019,3,23,Baylor,Gonzaga,N,71,83
2018,11,23,Baylor,Ole Miss,N,70,78
2019,3,14,Baylor,Iowa St.,N,66,83
2019,1,12,Belmont,Eastern Ky.,H,109,93
2018,11,10,Belmont,Illinois St.,H,100,89
2019,2,21,Belmont,Eastern Ill.,H,99,58
2019,1,31,Belmont,Southeast Mo. St.,H,97,71
2019,2,23,Belmont,SIUE,H,97,75
2018,11,12,Belmont,Middle Tenn.,H,92,73
2019,1,19,Belmont,Tennessee St.,H,92,74
2019,2,2,Belmont,UT Martin,H,82,67
2018,12,19,Belmont,Western Ky.,H,80,74
2019,1,5,Belmont,Tennessee Tech,H,79,67
2019,1,10,Belmont,Morehead St.,H,77,60
2018,12,4,Belmont,Lipscomb,H,76,74
2019,1,3,Belmont,Jacksonville St.,H,73,83
2019,3,8,Belmont,Austin Peay,N,83,67
2019,3,19,Belmont,Temple,N,81,70
2019,3,21,Belmont,Maryland,N,77,79
2019,3,9,Belmont,Murray St.,N,65,77
2019,3,2,Bethune-Cookman,South Carolina St.,H,98,95
2019,1,21,Bethune-Cookman,UMES,H,89,68
2018,11,26,Bethune-Cookman,Stetson,H,84,74
2019,2,9,Bethune-Cookman,Norfolk St.,H,84,76
2019,2,2,Bethune-Cookman,N.C. Central,H,74,64
2019,2,11,Bethune-Cookman,Howard,H,73,79
2018,12,1,Bethune-Cookman,Fla. Atlantic,H,72,70
2018,12,15,Bethune-Cookman,Jacksonville,H,71,79
2019,1,19,Bethune-Cookman,Delaware St.,H,69,49
2019,2,4,Bethune-Cookman,N.C. A&T,H,69,53
2018,11,20,Bethune-Cookman,Omaha,H,56,76
2019,3,7,Bethune-Cookman,Florida A&M,H,56,64
2019,3,14,Bethune-Cookman,Howard,N,71,80
2019,1,23,Binghamton,UMass Lowell,H,79,85
2018,11,24,Binghamton,Sacred Heart,H,78,73
2019,1,26,Binghamton,Maine,H,78,66
2019,2,27,Binghamton,Hartford,H,76,96
2018,11,6,Binghamton,Cornell,H,75,86
2019,1,5,Binghamton,New Hampshire,H,69,58
2018,12,8,Binghamton,Loyola Maryland,H,65,83
2019,1,2,Binghamton,Columbia,H,63,65
2019,2,23,Binghamton,Vermont,H,63,69
2019,2,6,Binghamton,Stony Brook,H,59,85
2019,3,5,Binghamton,Albany (NY),H,58,73
2018,11,9,Binghamton,NJIT,H,57,74
2019,2,13,Binghamton,UMBC,H,50,64
2018,12,15,Binghamton,Youngstown St.,H,48,58
2019,2,9,Boise St.,San Jose St.,H,105,57
2019,1,5,Boise St.,San Diego St.,H,88,64
2018,12,22,Boise St.,Pacific,H,83,71
2019,3,9,Boise St.,Air Force,H,80,52
2019,1,26,Boise St.,Wyoming,H,77,52
2019,2,6,Boise St.,UNLV,H,72,83
2019,1,15,Boise St.,Nevada,H,71,72
2019,2,23,Boise St.,Utah St.,H,71,78
2018,11,10,Boise St.,Idaho St.,H,70,72
2018,11,16,Boise St.,Jackson St.,H,70,53
2018,12,12,Boise St.,Alabama St.,H,67,57
2019,2,27,Boise St.,Colorado St.,H,62,76
2019,1,19,Boise St.,Fresno St.,H,53,63
2018,12,29,Boise St.,Oregon,H,50,62
2018,11,19,Boise St.,Creighton,N,82,94
2018,11,20,Boise St.,St. Bonaventure,N,72,52
2018,11,21,Boise St.,Illinois St.,N,70,73
2019,3,14,Boise St.,Nevada,N,69,77
2019,3,13,Boise St.,Colorado St.,N,66,57
2018,12,4,Boston College,Providence,H,95,100
2019,1,20,Boston College,Florida St.,H,87,82
2018,12,12,Boston College,Columbia,H,82,73
2018,11,29,Boston College,Sacred Heart,H,81,73
2018,12,31,Boston College,Hartford,H,78,79
2018,12,16,Boston College,Fairfield,H,77,67
2018,11,11,Boston College,St. Francis Brooklyn,H,74,69
2018,11,6,Boston College,Milwaukee,H,73,53
2019,2,2,Boston College,Notre Dame,H,73,79
2019,1,30,Boston College,Syracuse,H,71,77
2018,11,14,Boston College,IUPUI,H,69,76
2018,11,26,Boston College,Minnesota,H,68,56
2019,2,12,Boston College,Pittsburgh,H,66,57
2019,2,27,Boston College,Louisville,H,66,59
2019,3,5,Boston College,North Carolina,H,66,79
2019,2,17,Boston College,Miami (FL),H,64,57
2019,1,9,Boston College,Virginia,H,56,83
2019,3,9,Boston College,NC State,H,47,73
2018,11,19,Boston College,Wyoming,N,88,76
2018,11,21,Boston College,Loyola Chicago,N,78,66
2019,3,12,Boston College,Pittsburgh,N,70,80
2019,1,5,Boston U.,Bucknell,H,87,80
2019,1,9,Boston U.,Army West Point,H,82,86
2018,12,4,Boston U.,UMass Lowell,H,79,60
2019,2,16,Boston U.,Lehigh,H,79,84
2018,12,15,Boston U.,Nicholls St.,H,75,63
2019,3,2,Boston U.,Navy,H,74,79
2018,11,9,Boston U.,Vermont,H,72,78
2019,2,6,Boston U.,Lafayette,H,72,79
2019,2,23,Boston U.,Loyola Maryland,H,72,65
2019,3,5,Boston U.,Loyola Maryland,H,71,63
2019,1,30,Boston U.,Holy Cross,H,68,54
2018,12,21,Boston U.,Bethune-Cookman,H,66,74
2019,1,23,Boston U.,American,H,66,70
2019,1,19,Boston U.,Colgate,H,56,77
2018,12,8,Bowling Green,Green Bay,H,97,68
2018,12,30,Bowling Green,UT Martin,H,94,80
2019,2,2,Bowling Green,Buffalo,H,92,88
2019,1,8,Bowling Green,Ohio,H,82,63
2018,11,25,Bowling Green,Drexel,H,81,71
2019,1,15,Bowling Green,Ball St.,H,79,78
2019,1,19,Bowling Green,Western Mich.,H,79,48
2019,2,12,Bowling Green,Central Mich.,H,79,72
2019,3,1,Bowling Green,Kent St.,H,77,72
2018,11,15,Bowling Green,N.C. Central,H,75,60
2018,12,21,Bowling Green,Western Caro.,H,73,52
2019,2,19,Bowling Green,Akron,H,73,69
2019,2,9,Bowling Green,Toledo,H,71,78
2019,2,26,Bowling Green,Miami (OH),H,69,82
2019,3,14,Bowling Green,Ball St.,N,99,86
2018,11,19,Bowling Green,Hampton,N,81,79
2019,3,16,Bowling Green,Buffalo,N,73,87
2019,3,15,Bowling Green,Northern Ill.,N,71,67
2019,2,9,Bradley,Indiana St.,H,96,67
2018,11,24,Bradley,Chicago St.,H,86,70
2019,1,23,Bradley,Illinois St.,H,85,68
2018,12,1,Bradley,New Mexico,H,75,85
2018,11,14,Bradley,Jacksonville St.,H,74,65
2018,11,10,Bradley,Southeast Mo. St.,H,68,57
2019,2,2,Bradley,Southern Ill.,H,68,72
2019,2,27,Bradley,Valparaiso,H,67,42
2018,12,15,Bradley,Eastern Ill.,H,66,73
2019,1,12,Bradley,Missouri St.,H,64,69
2018,12,22,Bradley,Southeastern La.,H,63,60
2019,2,23,Bradley,Evansville,H,63,61
2019,2,13,Bradley,Loyola Chicago,H,61,54
2019,1,16,Bradley,Drake,H,52,69
2019,1,2,Bradley,UNI,H,47,65
2018,11,20,Bradley,SMU,N,75,62
2019,3,21,Bradley,Michigan St.,N,65,76
2019,3,8,Bradley,Missouri St.,N,61,58
2018,11,21,Bradley,Penn St.,N,59,56
2019,3,10,Bradley,UNI,N,57,54
2019,3,9,Bradley,Loyola Chicago,N,53,51
2019,1,14,Brown,Providence,H,100,61
2019,2,22,Brown,Harvard,H,88,79
2018,11,18,Brown,Army West Point,H,86,66
2018,11,25,Brown,Bryant,H,84,60
2019,3,20,Brown,UAB,H,83,78
2018,11,16,Brown,UMass Lowell,H,82,74
2018,11,17,Brown,Sacred Heart,H,82,77
2019,2,8,Brown,Penn,H,82,92
2019,2,9,Brown,Princeton,H,78,70
2019,3,1,Brown,Columbia,H,77,80
2019,1,2,Brown,Maine,H,75,67
2019,3,2,Brown,Cornell,H,75,51
2018,12,8,Brown,Stony Brook,H,71,69
2019,2,23,Brown,Dartmouth,H,68,65
2019,1,19,Brown,Yale,H,67,70
2019,2,14,Bryant,Sacred Heart,H,104,105
2019,2,23,Bryant,Mount St. Mary's,H,81,58
2019,1,3,Bryant,St. Francis Brooklyn,H,76,66
2019,1,21,Bryant,Saint Francis (PA),H,76,67
2018,12,1,Bryant,New Hampshire,H,75,65
2018,12,12,Bryant,Hartford,H,74,91
2018,11,14,Bryant,Saint Peter's,H,71,63
2019,1,5,Bryant,LIU Brooklyn,H,70,79
2018,12,21,Bryant,Dartmouth,H,68,67
2019,2,21,Bryant,Wagner,H,67,65
2019,1,19,Bryant,Robert Morris,H,65,79
2019,1,24,Bryant,Central Conn. St.,H,63,60
2019,1,26,Bryant,Fairleigh Dickinson,H,63,78
2018,11,28,Bryant,Yale,H,61,103
2019,2,24,Bucknell,Lafayette,H,118,76
2019,3,10,Bucknell,Lehigh,H,97,75
2019,1,14,Bucknell,Holy Cross,H,93,78
2019,2,11,Bucknell,Lehigh,H,87,75
2019,1,9,Bucknell,Colgate,H,84,81
2019,2,9,Bucknell,Boston U.,H,82,76
2018,11,28,Bucknell,Northeastern,H,78,96
2019,3,7,Bucknell,Holy Cross,H,77,65
2018,11,13,Bucknell,Canisius,H,73,82
2019,1,23,Bucknell,Loyola Maryland,H,71,68
2019,1,30,Bucknell,Navy,H,69,57
2018,12,1,Bucknell,Monmouth,H,65,43
2019,3,2,Bucknell,Army West Point,H,62,61
2018,11,10,Bucknell,Fairfield,H,58,60
