year,month,day,team,opponent,location,teamscore,oppscore
2024,11,30,A&M-Corpus Christi,Prairie View,H,109,74
2025,3,3,A&M-Corpus Christi,New Orleans,H,95,62
2024,11,23,A&M-Corpus Christi,Le Moyne,H,82,61
2024,11,21,A&M-Corpus Christi,UT Martin,H,81,77
2025,1,11,A&M-Corpus Christi,UTRGV,H,79,74
2025,1,13,A&M-Corpus Christi,Northwestern St.,H,73,64
2025,1,27,A&M-Corpus Christi,McNeese,H,73,74
2025,2,15,A&M-Corpus Christi,UIW,H,69,55
2025,2,17,A&M-Corpus Christi,Houston Christian,H,68,62
2025,3,1,A&M-Corpus Christi,Southeastern La.,H,68,54
2024,12,7,A&M-Corpus Christi,SFA,H,67,48
2024,12,5,A&M-Corpus Christi,Lamar University,H,61,65
2025,1,25,A&M-Corpus Christi,Nicholls,H,61,57
2025,3,8,Abilene Christian,Grand Canyon,H,82,81
2025,2,22,Abilene Christian,Utah Tech,H,80,72
2025,1,25,Abilene Christian,UT Arlington,H,76,79
2025,2,13,Abilene Christian,Seattle U,H,75,59
2025,2,20,Abilene Christian,Southern Utah,H,75,59
2024,11,16,Abilene Christian,Texas St.,H,72,60
2024,12,21,Abilene Christian,Texas Southern,H,69,65
2025,1,23,Abilene Christian,Tarleton St.,H,67,56
2025,3,6,Abilene Christian,Utah Valley,H,60,73
2024,12,31,Abilene Christian,SFA,H,57,62
2024,11,9,Abilene Christian,Middle Tenn.,H,56,79
2025,1,18,Abilene Christian,California Baptist,H,54,60
2024,11,25,Abilene Christian,Southern Miss.,N,82,74
2024,11,24,Air Force,Mercyhurst,H,82,48
2025,1,22,Air Force,San Diego St.,H,76,77
2024,11,7,Air Force,Jacksonville St.,H,73,67
2025,2,22,Air Force,Fresno St.,H,72,69
2024,11,15,Air Force,Belmont,H,71,79
2025,1,4,Air Force,Wyoming,H,65,70
2025,1,11,Air Force,San Jose St.,H,62,69
2024,11,27,Air Force,Sacramento St.,H,61,63
2025,2,4,Air Force,Nevada,H,60,74
2024,12,31,Air Force,UNLV,H,58,77
2025,1,25,Air Force,Utah St.,H,58,87
2024,11,4,Air Force,North Ala.,H,57,73
2025,3,4,Air Force,Boise St.,H,57,80
2025,2,25,Air Force,Colorado St.,H,55,77
2024,11,11,Air Force,LIU,H,54,63
2025,2,8,Air Force,New Mexico,H,53,88
2024,12,7,Air Force,Stony Brook,N,69,61
2025,2,11,Akron,Western Mich.,H,105,92
2025,1,25,Akron,Miami (OH),H,102,75
2024,11,24,Akron,Alabama St.,H,97,78
2024,11,23,Akron,Omaha,H,92,84
2025,1,17,Akron,Ohio,H,92,80
2025,3,7,Akron,Buffalo,H,88,70
2025,1,7,Akron,Central Mich.,H,87,71
2024,12,3,Akron,Northern Ky.,H,86,73
2025,1,14,Akron,Toledo,H,85,78
2025,2,4,Akron,Ball St.,H,81,73
2025,2,8,Akron,South Alabama,H,80,67
2024,11,22,Akron,Lamar University,H,79,72
2025,2,28,Akron,Kent St.,H,77,72
2025,2,18,Akron,NIU,H,73,63
2024,12,15,Akron,Milwaukee,N,81,100
2024,12,21,Akron,Jackson St.,N,68,50
2024,12,20,Akron,Yale,N,58,74
2025,2,25,Alabama,Mississippi St.,H,111,73
2024,11,4,Alabama,UNC Asheville,H,110,54
2025,1,4,Alabama,Oklahoma,H,107,79
2024,12,29,Alabama,South Dakota St.,H,105,82
2025,1,21,Alabama,Vanderbilt,H,103,87
2025,2,22,Alabama,Kentucky,H,96,83
