year,month,day,team,opponent,location,teamscore,oppscore
2024,2,17,A&M-Corpus Christi,Tex. A&M-Commerce,H,86,63
2024,1,8,A&M-Corpus Christi,Houston Christian,H,81,59
2024,3,2,A&M-Corpus Christi,Southeastern La.,H,80,68
2024,2,3,A&M-Corpus Christi,Lamar University,H,79,71
2023,12,6,A&M-Corpus Christi,UTRGV,H,74,76
2024,3,4,A&M-Corpus Christi,New Orleans,H,73,60
2024,2,19,A&M-Corpus Christi,Northwestern St.,H,72,61
2024,3,6,A&M-Corpus Christi,UIW,H,71,52
2024,1,20,A&M-Corpus Christi,Nicholls,H,69,59
2023,12,9,A&M-Corpus Christi,Omaha,H,62,58
2024,1,22,A&M-Corpus Christi,McNeese,H,61,62
2023,11,24,A&M-Corpus Christi,LIU,N,68,83
2024,1,6,Abilene Christian,UTRGV,H,91,89
2023,12,17,Abilene Christian,UTEP,H,88,82
2024,1,25,Abilene Christian,Utah Tech,H,82,60
2024,2,24,Abilene Christian,Grand Canyon,H,79,73
2024,1,20,Abilene Christian,UT Arlington,H,78,67
2023,12,6,Abilene Christian,Northern Ariz.,H,76,78
2023,11,14,Abilene Christian,Prairie View,H,74,79
2023,12,2,Abilene Christian,SFA,H,74,79
2024,2,1,Abilene Christian,Tarleton St.,H,73,76
2024,2,22,Abilene Christian,California Baptist,H,71,65
2024,1,27,Abilene Christian,Southern Utah,H,67,82
2024,3,7,Abilene Christian,Seattle U,H,64,59
2023,11,17,Abilene Christian,San Jose St.,N,77,71
2023,11,20,Abilene Christian,Missouri St.,N,69,87
2023,11,19,Abilene Christian,Fordham,N,59,45
2023,11,17,Air Force,William & Mary,H,80,71
2023,12,21,Air Force,Northern Colo.,H,79,83
2023,11,16,Air Force,Lindenwood,H,76,58
2024,1,30,Air Force,Wyoming,H,72,83
2023,12,9,Air Force,Eastern Wash.,H,68,73
2024,1,13,Air Force,San Jose St.,H,67,70
2024,1,20,Air Force,New Mexico,H,66,85
2024,2,10,Air Force,Fresno St.,H,66,68
2023,11,22,Air Force,VMI,H,64,54
2024,2,6,Air Force,San Diego St.,H,64,77
2024,1,2,Air Force,Utah St.,H,60,88
2023,11,19,Air Force,Omaha,H,58,56
2023,11,6,Air Force,Portland St.,H,55,62
2024,2,27,Air Force,Boise St.,H,48,79
2024,2,21,Air Force,UNLV,H,43,72
2023,12,16,Air Force,UT Arlington,N,73,76
2023,12,21,Akron,Gardner-Webb,H,94,90
2024,1,5,Akron,Bowling Green,H,83,67
2024,2,23,Akron,Kent St.,H,83,70
2024,3,2,Akron,NIU,H,80,73
2024,1,16,Akron,Western Mich.,H,77,66
2024,2,2,Akron,Toledo,H,77,70
2024,1,12,Akron,Buffalo,H,76,59
2023,11,10,Akron,Southern Miss.,H,72,54
2024,2,6,Akron,Central Mich.,H,68,47
2023,12,5,Akron,Bradley,H,67,52
2024,1,23,Akron,Ohio,H,67,58
2024,3,5,Akron,Eastern Mich.,H,60,61
2023,11,19,Akron,FIU,N,77,71
2023,11,20,Akron,Utah St.,N,62,65
2023,12,30,Akron,St. Bonaventure,N,61,62
2023,11,21,Akron,Drake,N,59,79
2023,12,23,Alabama,Eastern Ky.,H,111,67
2024,1,27,Alabama,LSU,H,109,88
2023,11,6,Alabama,Morehead St.,H,105,73
2023,11,10,Alabama,Indiana St.,H,102,80
2023,11,14,Alabama,South Alabama,H,102,46
2024,2,17,Alabama,Texas A&M,H,100,75
2024,2,3,Alabama,Mississippi St.,H,99,67
2023,11,17,Alabama,Mercer,H,98,67
2024,2,21,Alabama,Florida,H,98,93
2024,1,16,Alabama,Missouri,H,93,75
2023,12,4,Alabama,Arkansas St.,H,89,65
2024,1,24,Alabama,Auburn,H,79,75
2023,11,28,Alabama,Clemson,H,77,85
2024,1,9,Alabama,South Carolina,H,74,47
2024,3,2,Alabama,Tennessee,H,74,81
2023,12,30,Alabama,Liberty,N,101,56
2023,11,25,Alabama,Oregon,N,99,91
2023,12,9,Alabama,Purdue,N,86,92
2023,11,24,Alabama,Ohio St.,N,81,92
2023,12,20,Alabama,Arizona,N,74,87
2023,11,29,Alabama A&M,Tennessee St.,H,85,83
2023,12,13,Alabama A&M,UAB,H,82,93
2024,2,17,Alabama A&M,Mississippi Val.,H,80,57
2024,2,19,Alabama A&M,Ark.-Pine Bluff,H,75,67
2024,2,3,Alabama A&M,Florida A&M,H,73,61
2024,3,7,Alabama A&M,Grambling,H,73,74
2023,12,16,Alabama A&M,Chattanooga,H,72,88
2024,2,5,Alabama A&M,Bethune-Cookman,H,72,68
2024,1,11,Alabama A&M,Alcorn,H,71,74
2024,1,13,Alabama A&M,Jackson St.,H,67,75
2024,3,2,Alabama A&M,Alabama St.,H,58,53
2023,11,24,Alabama A&M,ETSU,N,71,82
2024,1,15,Alabama A&M,Alabama St.,N,55,72
2024,2,17,Alabama St.,Ark.-Pine Bluff,H,74,80
2024,2,3,Alabama St.,Bethune-Cookman,H,68,79
2024,1,11,Alabama St.,Jackson St.,H,63,73
2024,2,5,Alabama St.,Florida A&M,H,62,53
2024,2,19,Alabama St.,Mississippi Val.,H,61,46
