year,month,day,team,opponent,location,teamscore,oppscore
2022,2,19,A&M-Corpus Christi,Northwestern St.,H,83,76
2022,1,15,A&M-Corpus Christi,UIW,H,80,64
2021,12,8,A&M-Corpus Christi,UTRGV,H,75,69
2022,3,2,A&M-Corpus Christi,Nicholls St.,H,75,86
2022,2,17,A&M-Corpus Christi,Southeastern La.,H,74,83
2022,1,22,A&M-Corpus Christi,Houston Baptist,H,71,77
2022,2,3,A&M-Corpus Christi,New Orleans,H,70,79
2022,1,20,A&M-Corpus Christi,McNeese,H,60,56
2021,12,18,A&M-Corpus Christi,Lamar University,H,57,53
2022,1,6,A&M-Corpus Christi,Northwestern St.,N,89,67
2022,1,7,A&M-Corpus Christi,Nicholls St.,N,75,84
2021,11,17,A&M-Corpus Christi,Denver,N,69,67
2022,1,8,A&M-Corpus Christi,McNeese,N,67,54
2021,11,16,A&M-Corpus Christi,IUPUI,N,65,59
2021,12,4,Abilene Christian,UIW,H,98,65
2022,2,5,Abilene Christian,UTRGV,H,83,66
2022,3,3,Abilene Christian,Dixie St.,H,80,64
2022,1,22,Abilene Christian,California Baptist,H,77,68
2022,2,2,Abilene Christian,Chicago St.,H,77,73
2022,2,24,Abilene Christian,Lamar University,H,77,42
2021,12,22,Abilene Christian,Longwood,H,74,58
2021,12,11,Abilene Christian,Drexel,H,73,56
2021,12,15,Abilene Christian,CSU Bakersfield,H,69,59
2022,1,8,Abilene Christian,Sam Houston St.,H,63,65
2022,1,20,Abilene Christian,Seattle U,H,62,72
2022,3,5,Abilene Christian,Tarleton St.,H,61,56
2022,1,6,Abilene Christian,SFA,H,58,64
2022,2,5,Air Force,New Mexico,H,77,91
2021,12,4,Air Force,Army West Point,H,76,58
2022,1,20,Air Force,UNLV,H,69,62
2022,1,15,Air Force,Nevada,H,68,75
2021,11,24,Air Force,Denver,H,66,65
2021,11,17,Air Force,Texas Southern,H,61,57
2022,1,28,Air Force,Wyoming,H,61,63
2021,11,27,Air Force,Idaho St.,H,59,48
2022,2,16,Air Force,Boise St.,H,59,85
2022,3,1,Air Force,San Jose St.,H,58,54
2022,1,22,Air Force,Colorado St.,H,53,73
2021,12,29,Air Force,Utah St.,H,49,47
2022,2,22,Air Force,Fresno St.,H,40,65
2021,11,21,Air Force,Bethune-Cookman,N,73,65
2021,11,20,Air Force,Holy Cross,N,72,53
2021,11,11,Air Force,South Dakota,N,53,59
2021,12,1,Akron,Marshall,H,88,86
2022,1,1,Akron,Buffalo,H,88,76
2022,1,11,Akron,Ball St.,H,84,74
2022,2,22,Akron,Bowling Green,H,82,68
2021,12,4,Akron,Southern U.,H,79,62
2022,1,18,Akron,Western Mich.,H,74,73
2021,12,12,Akron,Florida A&M,H,73,66
2022,2,4,Akron,Miami (OH),H,66,55
2022,2,11,Akron,Kent St.,H,64,66
2022,1,4,Akron,Ohio,H,63,69
2022,2,17,Akron,Northern Ill.,H,63,66
2022,3,4,Akron,Central Mich.,H,57,56
2022,1,22,Akron,Eastern Mich.,H,46,44
2021,11,24,Akron,Evansville,N,69,60
2021,11,23,Akron,Appalachian St.,N,45,57
2021,11,22,Akron,Fordham,N,43,63
2021,11,12,Alabama,South Dakota St.,H,104,88
2021,11,9,Alabama,Louisiana Tech,H,93,64
2022,2,26,Alabama,South Carolina,H,90,71
2022,1,29,Alabama,Baylor,H,87,78
2021,11,19,Alabama,Oakland,H,86,59
2022,1,22,Alabama,Missouri,H,86,76
2021,12,11,Alabama,Houston,H,83,82
2022,2,16,Alabama,Mississippi St.,H,80,75
2022,1,11,Alabama,Auburn,H,77,81
2021,11,16,Alabama,South Alabama,H,73,68
2021,12,29,Alabama,Tennessee,H,73,68
2022,3,2,Alabama,Texas A&M,H,71,87
2022,1,19,Alabama,LSU,H,70,67
2022,2,12,Alabama,Arkansas,H,68,67
2021,12,18,Alabama,Jacksonville St.,H,65,59
2022,2,5,Alabama,Kentucky,H,55,66
2021,11,28,Alabama,Miami (FL),N,96,64
2021,12,4,Alabama,Gonzaga,N,91,82
2021,11,26,Alabama,Drake,N,80,71
2021,12,21,Alabama,Davidson,N,78,79
2021,11,25,Alabama,Iona,N,68,72
2022,2,12,Alabama A&M,Mississippi Val.,H,94,92
2021,11,9,Alabama A&M,Tennessee St.,H,82,73
2022,2,26,Alabama A&M,Alabama St.,H,80,65
2022,2,14,Alabama A&M,Ark.-Pine Bluff,H,74,69
2022,1,8,Alabama A&M,Alcorn,H,71,78
2022,3,3,Alabama A&M,Grambling,H,71,63
2022,1,31,Alabama A&M,Bethune-Cookman,H,67,52
2022,1,10,Alabama A&M,Jackson St.,H,60,58
2022,1,29,Alabama A&M,Florida A&M,H,60,65
2022,3,5,Alabama A&M,Southern U.,H,49,50
2021,11,20,Alabama St.,N.C. Central,H,80,74
2022,3,5,Alabama St.,Grambling,H,78,75
2022,3,3,Alabama St.,Southern U.,H,77,67
2022,1,8,Alabama St.,Jackson St.,H,72,57
2022,2,14,Alabama St.,Mississippi Val.,H,71,85
2022,2,12,Alabama St.,Ark.-Pine Bluff,H,70,75
2021,11,28,Alabama St.,North Ala.,H,69,81
2022,1,31,Alabama St.,Florida A&M,H,65,66
2021,12,8,Alabama St.,Samford,H,64,74
2022,1,10,Alabama St.,Alcorn,H,60,70
2022,1,15,Alabama St.,Alabama A&M,H,59,55
2022,1,29,Alabama St.,Bethune-Cookman,N,79,73
2022,1,6,Albany (NY),Binghamton,H,79,88
2022,1,22,Albany (NY),Stony Brook,H,75,86
2022,1,15,Albany (NY),NJIT,H,71,56
2022,2,19,Albany (NY),New Hampshire,H,70,65
2022,2,9,Albany (NY),Maine,H,63,73
2022,2,12,Albany (NY),Vermont,H,63,76
2021,12,11,Albany (NY),Columbia,H,60,59
2022,1,12,Albany (NY),UMass Lowell,H,57,47
2021,11,9,Albany (NY),Towson,H,56,77
2022,3,1,Albany (NY),Hartford,H,55,67
2021,11,17,Albany (NY),Harvard,H,53,60
2022,2,2,Albany (NY),UMBC,H,53,59
2021,11,24,Albany (NY),Eastern Ill.,N,64,62
2021,12,18,Albany (NY),Niagara,N,58,66
2022,3,5,Alcorn,Ark.-Pine Bluff,H,100,77
2022,1,15,Alcorn,Texas Southern,H,73,72
2022,1,17,Alcorn,Prairie View,H,73,74
2022,1,31,Alcorn,Grambling,H,73,80
2022,3,3,Alcorn,Mississippi Val.,H,72,69
2022,1,29,Alcorn,Southern U.,H,68,64
2022,2,14,Alcorn,Florida A&M,H,68,56
2022,2,12,Alcorn,Bethune-Cookman,H,63,71
2022,2,19,Alcorn,Jackson St.,H,61,60
2021,12,8,American,Saint Francis (PA),H,83,73
2022,2,19,American,Army West Point,H,83,67
