year,month,day,team,opponent,location,teamscore,oppscore
2016,11,29,A&M-Corpus Chris,UTRGV,H,84,68
2016,12,18,A&M-Corpus Chris,UTSA,H,73,69
2017,1,7,A&M-Corpus Chris,Northwestern St.,H,99,82
2017,2,1,A&M-Corpus Chris,Houston Baptist,H,90,79
2017,1,14,A&M-Corpus Chris,Central Ark.,H,88,81
2017,2,25,A&M-Corpus Chris,McNeese,H,81,70
2017,3,4,A&M-Corpus Chris,Incarnate Word,H,81,64
2017,2,8,A&M-Corpus Chris,Southeastern La.,H,80,75
2017,1,28,A&M-Corpus Chris,Abilene Christian,H,72,60
2017,2,18,A&M-Corpus Chris,Lamar University,H,70,63
2017,1,19,A&M-Corpus Chris,SFA,H,58,61
2016,11,22,Abilene Christian,Charleston So.,H,65,66
2017,1,5,Abilene Christian,Central Ark.,H,76,81
2017,2,11,Abilene Christian,Northwestern St.,H,76,72
2017,3,1,Abilene Christian,Incarnate Word,H,75,89
2017,2,4,Abilene Christian,Sam Houston St.,H,71,64
2017,2,1,Abilene Christian,New Orleans,H,70,69
2017,1,7,Abilene Christian,SFA,H,69,60
2017,1,14,Abilene Christian,Lamar University,H,67,64
2017,1,12,Abilene Christian,Southeastern La.,H,50,56
2017,2,22,Abilene Christian,A&M-Corpus Chris,H,44,56
2016,11,20,Air Force,Florida A&M,H,87,62
2016,11,14,Air Force,Jacksonville,H,86,68
2016,11,22,Air Force,Stetson,H,85,72
2016,12,3,Air Force,Missouri St.,H,83,70
2016,12,31,Air Force,Utah St.,H,78,73
2016,12,22,Air Force,UC Davis,H,77,67
2016,12,19,Air Force,Colorado,H,68,75
2016,12,10,Air Force,Denver,H,65,77
2017,1,14,Air Force,San Jose St.,H,85,89
2017,1,11,Air Force,Fresno St.,H,81,72
2017,2,22,Air Force,UNLV,H,81,58
2017,2,4,Air Force,Wyoming,H,74,83
2017,3,4,Air Force,Boise St.,H,70,98
2017,2,8,Air Force,New Mexico,H,67,74
2017,1,24,Air Force,San Diego St.,H,60,57
2017,2,15,Air Force,Nevada,H,59,78
2016,11,25,Air Force,Akron,N,75,84
2016,11,26,Air Force,East Carolina,N,63,70
2017,3,8,Air Force,Wyoming,N,83,68
2016,12,17,Akron,Marshall,H,99,88
2016,11,20,Akron,Radford,H,88,41
2016,12,7,Akron,Coppin St.,H,87,63
2016,11,22,Akron,Ga. Southern,H,75,67
2016,11,17,Akron,American,H,72,62
2017,1,28,Akron,Buffalo,H,91,90
2017,1,3,Akron,Bowling Green,H,89,84
2017,1,17,Akron,Ohio,H,83,68
2017,2,28,Akron,Miami (OH),H,75,79
2017,2,14,Akron,Toledo,H,71,65
2017,1,20,Akron,Eastern Mich.,H,70,63
2017,2,17,Akron,Kent St.,H,67,70
2017,1,6,Akron,Western Mich.,H,66,59
2017,2,7,Akron,Ball St.,H,65,63
2016,12,21,Akron,UC Irvine,N,88,80
2016,11,25,Akron,Air Force,N,84,75
2016,12,22,Akron,UMES,N,76,60
2016,11,26,Akron,Mercer,N,65,63
2016,12,29,Alabama,Stetson,H,83,60
2016,12,15,Alabama,USC Upstate,H,78,61
2016,11,18,Alabama,Ball St.,H,77,59
2016,11,29,Alabama,Charleston So.,H,76,46
2016,11,15,Alabama,Dayton,H,72,77
2016,11,11,Alabama,Coastal Caro.,H,70,53
2016,12,18,Alabama,Clemson,H,54,67
2017,2,18,Alabama,LSU,H,90,72
2017,2,4,Alabama,Auburn,H,77,82
2017,1,28,Alabama,Mississippi St.,H,71,62
2017,3,1,Alabama,Ole Miss,H,70,55
2017,1,18,Alabama,Missouri,H,68,56
2017,1,10,Alabama,Florida,H,67,80
2017,1,7,Alabama,Vanderbilt,H,59,56
2017,2,11,Alabama,Kentucky,H,58,67
